ID,Date,S&P Change (close - open),S&P Open,S&P High,S&P Low,S&P Close,NYC Temp (high),NYC Temp (avg),NYC Temp (low),Avg Visibility (mi),NYC Wind (avg),NYC Wind (low),NYC Wind (high),NYC Precip (in),NYC Wx Events
1,11/18/16,-4.95,2186.850098,2189.889893,2180.379883,2181.899902,64,54,44,10,8,2,13,0,
2,11/21/16,11.75,2186.429932,2198.699951,2186.429932,2198.179932,41,39,36,10,22,13,39,0,
3,11/22/16,1.38,2201.560059,2204.800049,2194.51001,2202.939941,41,39,37,10,21,10,37,0,
4,11/23/16,6.17,2198.550049,2204.719971,2194.51001,2204.719971,45,40,35,10,12,5,20,0,
5,11/25/16,7.08,2206.27002,2213.350098,2206.27002,2213.350098,54,50,45,7,9,2,13,0.02,Rain
6,11/28/16,-8.49,2210.209961,2211.139893,2200.360107,2201.719971,52,45,38,10,10,3,17,0,
7,11/29/16,3.9,2200.76001,2210.459961,2198.149902,2204.659912,60,56,51,4,13,5,26,2.2,"Fog , Rain"
8,11/30/16,-6.16,2204.969971,2214.100098,2198.810059,2198.810059,58,54,50,4,18,6,25,0.73,Rain
9,12/1/16,-9.09,2200.169922,2202.600098,2187.439941,2191.080078,54,48,42,7,20,8,33,0.07,Rain
10,12/2/16,0.83,2191.120117,2197.949951,2188.370117,2191.949951,51,46,40,10,17,9,28,0,
11,12/5/16,4.06,2200.649902,2209.419922,2199.969971,2204.709961,49,44,38,8,15,6,24,0.19,Rain
12,12/6/16,4.97,2207.26001,2212.780029,2202.209961,2212.22998,46,42,37,9,15,5,22,0.35,Rain
13,12/7/16,30.63,2210.719971,2241.629883,2208.929932,2241.350098,46,43,40,7,15,4,21,0.09,Rain
14,12/8/16,5.06,2241.129883,2251.689941,2237.570068,2246.189941,45,40,35,10,6,4,-,0,
15,12/9/16,9.8,2249.72998,2259.800049,2249.22998,2259.530029,40,35,30,10,21,10,36,0,
16,12/12/16,-1.87,2258.830078,2264.030029,2252.370117,2256.959961,46,40,34,6,13,6,21,0.5,Rain
17,12/13/16,8.4,2263.320068,2277.530029,2263.320068,2271.719971,43,39,35,10,13,4,19,0,
18,12/14/16,-15.07,2268.350098,2276.199951,2248.439941,2253.280029,42,38,34,10,14,6,23,0,
19,12/15/16,8.26,2253.77002,2272.120117,2253.77002,2262.030029,34,27,19,10,25,11,40,0,
20,12/16/16,-8.74,2266.810059,2268.050049,2254.23999,2258.070068,27,22,17,10,15,6,25,0,
21,12/19/16,3.29,2259.23999,2267.469971,2258.209961,2262.530029,31,27,23,10,14,7,20,0,
22,12/20/16,4.26,2266.5,2272.560059,2266.139893,2270.76001,33,27,20,10,15,3,22,0,
23,12/21/16,-5.36,2270.540039,2271.22998,2265.149902,2265.179932,40,35,30,10,13,3,19,0,
24,12/22/16,-1.97,2262.929932,2263.179932,2256.080078,2260.959961,49,43,37,10,16,6,27,0,
25,12/23/16,3.54,2260.25,2263.790039,2258.840088,2263.790039,47,43,38,10,15,6,22,0,
26,12/27/16,2.65,2266.22998,2273.820068,2266.149902,2268.879883,60,50,40,10,20,7,33,0,
27,12/28/16,-20.31,2270.22998,2271.310059,2249.110107,2249.919922,40,37,34,10,14,5,21,0,
28,12/29/16,-0.24,2249.5,2254.51001,2244.560059,2249.26001,46,40,33,6,15,5,25,0.39,Rain
29,12/30/16,-12.78,2251.610107,2253.580078,2233.620117,2238.830078,40,37,33,9,18,9,29,0.01,"Fog , Snow"
30,1/3/17,6.26,2251.570068,2263.879883,2245.129883,2257.830078,43,41,39,4,17,12,30,0.59,Rain
31,1/4/17,9.15,2261.600098,2272.820068,2261.600098,2270.75,52,44,34,9,17,6,31,0,
32,1/5/17,0.82,2268.179932,2271.5,2260.449951,2269,33,30,27,10,13,8,24,0,
33,1/6/17,5.84,2271.139893,2282.100098,2264.060059,2276.97998,33,29,25,6,10,5,16,0.05,"Fog , Snow"
34,1/9/17,-4.69,2273.590088,2275.48999,2268.899902,2268.899902,23,19,14,10,13,5,22,0,
35,1/10/17,-0.82,2269.719971,2279.27002,2265.27002,2268.899902,46,34,21,10,14,5,24,0,
36,1/11/17,6.72,2268.600098,2275.320068,2260.830078,2275.320068,52,47,42,7,16,6,33,0.52,Rain
37,1/12/17,-0.7,2271.139893,2271.780029,2254.25,2270.439941,66,57,47,10,16,8,24,0.05,Rain
38,1/13/17,1.9,2272.73999,2278.679932,2271.51001,2274.639893,62,47,32,10,17,7,28,0,
39,1/17/17,-1.25,2269.139893,2272.080078,2262.810059,2267.889893,42,40,38,4,15,5,20,0.35,Rain
40,1/18/17,2.75,2269.139893,2272.01001,2263.350098,2271.889893,41,40,38,8,14,6,19,0.06,Rain
41,1/19/17,-8.21,2271.899902,2274.330078,2258.409912,2263.689941,49,44,39,10,12,4,19,0,
42,1/20/17,1.35,2269.959961,2276.959961,2265.01001,2271.310059,45,43,40,8,10,4,14,0.1,Rain
43,1/23/17,-2.58,2267.780029,2271.780029,2257.02002,2265.199951,44,40,36,8,33,18,47,1.16,Rain
44,1/24/17,12.19,2267.879883,2284.629883,2266.679932,2280.070068,38,37,35,5,24,10,36,1.18,Rain
45,1/25/17,9.49,2288.879883,2299.550049,2288.879883,2298.370117,51,44,36,10,18,7,26,0,
46,1/26/17,-1.95,2298.629883,2300.98999,2294.080078,2296.679932,56,50,43,10,21,7,38,0.02,Rain
47,1/27/17,-4.33,2299.02002,2299.02002,2291.620117,2294.689941,43,40,36,10,18,9,33,0,
48,1/30/17,-5.11,2286.01001,2286.01001,2268.040039,2280.899902,37,34,30,10,15,6,22,0,
49,1/31/17,4.85,2274.02002,2279.090088,2267.209961,2278.870117,34,30,26,5,12,4,15,0.06,"Fog , Snow"
50,2/1/17,-6.04,2285.590088,2289.139893,2272.439941,2279.550049,47,40,33,10,16,6,26,0,
51,2/2/17,4.16,2276.689941,2283.969971,2271.649902,2280.850098,45,39,32,10,16,5,28,0,
52,2/3/17,8.88,2288.540039,2298.310059,2287.879883,2297.419922,33,30,26,10,17,7,29,0,
53,2/6/17,-1.72,2294.280029,2296.179932,2288.570068,2292.560059,49,43,36,10,13,5,20,0,
54,2/7/17,-2.79,2295.870117,2299.399902,2290.159912,2293.080078,42,39,36,3,15,7,20,0.27,"Fog , Rain"
55,2/8/17,5.12,2289.550049,2295.909912,2285.379883,2294.669922,62,50,38,6,13,5,17,0.03,Rain
56,2/9/17,11.17,2296.699951,2311.080078,2296.610107,2307.870117,44,32,19,4,23,12,36,1.16,"Fog , Snow"
57,2/10/17,3.83,2312.27002,2319.22998,2311.100098,2316.100098,32,26,19,9,16,9,31,0,Snow
58,2/13/17,6.53,2321.719971,2331.580078,2321.419922,2328.25,39,35,31,10,28,12,48,0.02,Rain
59,2/14/17,11.46,2326.120117,2337.580078,2322.169922,2337.580078,41,35,28,10,13,5,20,0,
60,2/15/17,13.67,2335.580078,2351.300049,2334.810059,2349.25,47,41,35,10,18,7,29,0,
61,2/16/17,-2.42,2349.639893,2351.310059,2338.870117,2347.219971,35,32,28,10,17,11,29,0,
62,2/17/17,8.15,2343.01001,2351.159912,2339.580078,2351.159912,41,34,26,10,16,9,28,0,
63,2/21/17,10.47,2354.909912,2366.709961,2354.909912,2365.379883,47,41,34,10,14,6,22,0,
64,2/22/17,1.71,2361.110107,2365.129883,2358.340088,2362.820068,57,50,42,10,12,3,17,0,
65,2/23/17,-3.69,2367.5,2368.26001,2355.090088,2363.810059,65,55,44,8,13,4,20,0,
66,2/24/17,11.61,2355.72998,2367.340088,2352.870117,2367.340088,70,64,58,10,14,6,21,0,
67,2/27/17,4.52,2365.22998,2371.540039,2361.870117,2369.75,54,45,35,10,16,6,26,0,
68,2/28/17,-2.44,2366.080078,2367.790039,2358.959961,2363.639893,59,53,47,10,10,4,19,0,
69,3/1/17,15.83,2380.129883,2400.97998,2380.129883,2395.959961,70,62,54,8,16,6,30,0.12,Rain
70,3/2/17,-12.83,2394.75,2394.75,2380.169922,2381.919922,64,50,35,10,26,11,47,0,
71,3/3/17,2.2,2380.919922,2383.889893,2375.389893,2383.120117,39,32,24,10,18,8,35,0,
72,3/6/17,0.08,2375.22998,2378.800049,2367.97998,2375.310059,45,36,26,10,10,3,16,0,
73,3/7/17,-2.35,2370.73999,2375.120117,2365.51001,2368.389893,56,49,42,8,13,4,20,0.1,Rain
74,3/8/17,-6.83,2369.810059,2373.090088,2361.01001,2362.97998,59,53,47,10,17,8,31,0.02,Rain
75,3/9/17,1.38,2363.48999,2369.080078,2354.540039,2364.870117,61,54,47,10,23,9,39,0,
76,3/10/17,0.08,2372.52002,2376.860107,2363.040039,2372.600098,47,35,23,5,20,8,33,0.31,"Fog , Snow"
77,3/13/17,1.91,2371.560059,2374.419922,2368.52002,2373.469971,36,27,19,10,12,5,18,0,
78,3/14/17,-3.1,2368.550049,2368.550049,2358.179932,2365.449951,32,27,21,3,28,14,38,1.97,"Fog , Snow"
79,3/15/17,14.92,2370.340088,2390.01001,2368.939941,2385.26001,26,23,20,10,21,12,35,0,
80,3/16/17,-6.33,2387.709961,2388.100098,2377.179932,2381.379883,39,32,24,10,20,8,34,0,
81,3/17/17,-5.46,2383.709961,2385.709961,2377.639893,2378.25,47,38,29,10,15,7,22,0,
82,3/20/17,-4.77,2378.23999,2379.550049,2369.659912,2373.469971,52,43,33,10,14,5,22,0,
83,3/21/17,-35.3,2379.320068,2381.929932,2341.899902,2344.02002,59,51,42,10,13,4,18,0,
84,3/22/17,5.45,2343,2351.810059,2336.449951,2348.449951,50,37,24,10,24,12,42,0,
85,3/23/17,-0.01,2345.969971,2358.919922,2342.129883,2345.959961,42,33,23,10,13,5,17,0,
86,3/24/17,-6.44,2350.419922,2356.219971,2335.73999,2343.97998,57,47,36,10,15,6,23,0,
87,3/27/17,12.48,2329.110107,2344.899902,2322.25,2341.590088,53,45,37,4,12,4,17,0.26,"Fog , Rain"
88,3/28/17,18.78,2339.790039,2363.780029,2337.629883,2358.570068,46,44,41,4,14,6,21,0.72,Rain
89,3/29/17,4.59,2356.540039,2363.360107,2352.939941,2361.129883,60,51,42,10,18,8,27,0,
90,3/30/17,6.75,2361.310059,2370.419922,2358.580078,2368.060059,52,45,38,10,15,6,20,0.01,
91,3/31/17,-2.1,2364.820068,2370.350098,2362.600098,2362.719971,43,40,37,3,26,10,41,1.51,Rain
92,4/3/17,-3.5,2362.340088,2365.870117,2344.72998,2358.840088,63,56,48,10,18,5,24,0.03,Rain
93,4/4/17,5.4,2354.76001,2360.530029,2350.719971,2360.159912,51,48,45,5,18,7,25,1.18,Rain
94,4/5/17,-13.64,2366.590088,2378.360107,2350.52002,2352.949951,65,55,45,6,14,3,25,0,
95,4/6/17,3.7,2353.790039,2364.159912,2348.899902,2357.48999,53,47,40,5,22,9,30,0.73,Rain
96,4/7/17,-1.05,2356.590088,2363.76001,2350.73999,2355.540039,51,46,40,10,17,11,30,0,
97,4/10/17,0,2357.159912,2366.370117,2351.5,2357.159912,74,64,53,10,13,6,19,0,
98,4/11/17,-0.14,2353.919922,2355.219971,2337.25,2353.780029,80,71,61,10,14,6,22,0,
99,4/12/17,-7.22,2352.149902,2352.719971,2341.179932,2344.929932,76,67,58,10,10,3,21,0.02,Rain
100,4/13/17,-13.03,2341.97998,2348.26001,2328.949951,2328.949951,65,57,48,10,14,5,23,0,
101,4/17/17,16.39,2332.620117,2349.139893,2332.51001,2349.01001,74,66,58,10,14,7,24,0,
102,4/18/17,-0.34,2342.530029,2348.350098,2334.540039,2342.189941,65,56,47,10,15,7,24,0,
103,4/19/17,-8.62,2346.790039,2352.629883,2335.050049,2338.169922,54,50,45,10,16,6,23,0,Rain
104,4/20/17,13.15,2342.689941,2361.370117,2340.909912,2355.840088,66,58,50,7,13,4,19,0.17,Rain
105,4/21/17,-6.05,2354.73999,2356.179932,2344.51001,2348.689941,53,51,48,6,14,7,19,0.29,Rain
106,4/24/17,3.82,2370.330078,2376.97998,2369.189941,2374.149902,60,54,48,10,10,4,14,0,
107,4/25/17,7.1,2381.51001,2392.47998,2381.149902,2388.610107,54,52,49,6,25,13,39,0.91,Rain
108,4/26/17,-1.53,2388.97998,2398.159912,2386.780029,2387.449951,60,57,53,4,18,5,24,0.34,Rain
109,4/27/17,-0.93,2389.699951,2392.100098,2382.679932,2388.77002,70,64,57,3,16,3,22,0,
110,4/28/17,-9.48,2393.679932,2393.679932,2382.360107,2384.199951,85,72,58,5,12,3,19,0,Rain
111,5/1/17,-0.17,2388.5,2394.48999,2384.830078,2388.330078,74,62,49,6,12,5,21,0,
112,5/2/17,0.12,2391.050049,2392.929932,2385.820068,2391.169922,75,69,62,9,20,8,32,0,
113,5/3/17,1.63,2386.5,2389.820068,2379.75,2388.129883,65,58,51,10,18,8,31,0,
114,5/4/17,-0.27,2389.790039,2391.429932,2380.350098,2389.52002,64,56,47,10,13,5,22,0,
115,5/5/17,6.92,2392.370117,2399.290039,2389.379883,2399.290039,59,55,51,4,16,6,23,3.02,"Fog , Rain"
116,5/8/17,-0.56,2399.939941,2401.360107,2393.919922,2399.379883,57,51,44,10,15,6,26,0,
