ID,Date,SPchange,NYCtemp,Visibility,NYCwind,NYCprecip
1,11/18/16,-4.95,54,10,8,0
2,11/21/16,11.75,39,10,22,0
3,11/22/16,1.38,39,10,21,0
4,11/23/16,6.17,40,10,12,0
5,11/25/16,7.08,50,7,9,0.02
6,11/28/16,-8.49,45,10,10,0
7,11/29/16,3.9,56,4,13,2.2
8,11/30/16,-6.16,54,4,18,0.73
9,12/1/16,-9.09,48,7,20,0.07
10,12/2/16,0.83,46,10,17,0
11,12/5/16,4.06,44,8,15,0.19
12,12/6/16,4.97,42,9,15,0.35
13,12/7/16,30.63,43,7,15,0.09
14,12/8/16,5.06,40,10,6,0
15,12/9/16,9.8,35,10,21,0
16,12/12/16,-1.87,40,6,13,0.5
17,12/13/16,8.4,39,10,13,0
18,12/14/16,-15.07,38,10,14,0
19,12/15/16,8.26,27,10,25,0
20,12/16/16,-8.74,22,10,15,0
21,12/19/16,3.29,27,10,14,0
22,12/20/16,4.26,27,10,15,0
23,12/21/16,-5.36,35,10,13,0
24,12/22/16,-1.97,43,10,16,0
25,12/23/16,3.54,43,10,15,0
26,12/27/16,2.65,50,10,20,0
27,12/28/16,-20.31,37,10,14,0
28,12/29/16,-0.24,40,6,15,0.39
29,12/30/16,-12.78,37,9,18,0.01
30,1/3/17,6.26,41,4,17,0.59
31,1/4/17,9.15,44,9,17,0
32,1/5/17,0.82,30,10,13,0
33,1/6/17,5.84,29,6,10,0.05
34,1/9/17,-4.69,19,10,13,0
35,1/10/17,-0.82,34,10,14,0
36,1/11/17,6.72,47,7,16,0.52
37,1/12/17,-0.7,57,10,16,0.05
38,1/13/17,1.9,47,10,17,0
39,1/17/17,-1.25,40,4,15,0.35
40,1/18/17,2.75,40,8,14,0.06
41,1/19/17,-8.21,44,10,12,0
42,1/20/17,1.35,43,8,10,0.1
43,1/23/17,-2.58,40,8,33,1.16
44,1/24/17,12.19,37,5,24,1.18
45,1/25/17,9.49,44,10,18,0
46,1/26/17,-1.95,50,10,21,0.02
47,1/27/17,-4.33,40,10,18,0
48,1/30/17,-5.11,34,10,15,0
49,1/31/17,4.85,30,5,12,0.06
50,2/1/17,-6.04,40,10,16,0
51,2/2/17,4.16,39,10,16,0
52,2/3/17,8.88,30,10,17,0
53,2/6/17,-1.72,43,10,13,0
54,2/7/17,-2.79,39,3,15,0.27
55,2/8/17,5.12,50,6,13,0.03
56,2/9/17,11.17,32,4,23,1.16
57,2/10/17,3.83,26,9,16,0
58,2/13/17,6.53,35,10,28,0.02
59,2/14/17,11.46,35,10,13,0
60,2/15/17,13.67,41,10,18,0
61,2/16/17,-2.42,32,10,17,0
62,2/17/17,8.15,34,10,16,0
63,2/21/17,10.47,41,10,14,0
64,2/22/17,1.71,50,10,12,0
65,2/23/17,-3.69,55,8,13,0
66,2/24/17,11.61,64,10,14,0
67,2/27/17,4.52,45,10,16,0
68,2/28/17,-2.44,53,10,10,0
69,3/1/17,15.83,62,8,16,0.12
70,3/2/17,-12.83,50,10,26,0
71,3/3/17,2.2,32,10,18,0
72,3/6/17,0.08,36,10,10,0
73,3/7/17,-2.35,49,8,13,0.1
74,3/8/17,-6.83,53,10,17,0.02
75,3/9/17,1.38,54,10,23,0
76,3/10/17,0.08,35,5,20,0.31
77,3/13/17,1.91,27,10,12,0
78,3/14/17,-3.1,27,3,28,1.97
79,3/15/17,14.92,23,10,21,0
80,3/16/17,-6.33,32,10,20,0
81,3/17/17,-5.46,38,10,15,0
82,3/20/17,-4.77,43,10,14,0
83,3/21/17,-35.3,51,10,13,0
84,3/22/17,5.45,37,10,24,0
85,3/23/17,-0.01,33,10,13,0
86,3/24/17,-6.44,47,10,15,0
87,3/27/17,12.48,45,4,12,0.26
88,3/28/17,18.78,44,4,14,0.72
89,3/29/17,4.59,51,10,18,0
90,3/30/17,6.75,45,10,15,0.01
91,3/31/17,-2.1,40,3,26,1.51
92,4/3/17,-3.5,56,10,18,0.03
93,4/4/17,5.4,48,5,18,1.18
94,4/5/17,-13.64,55,6,14,0
95,4/6/17,3.7,47,5,22,0.73
96,4/7/17,-1.05,46,10,17,0
97,4/10/17,0,64,10,13,0
98,4/11/17,-0.14,71,10,14,0
99,4/12/17,-7.22,67,10,10,0.02
100,4/13/17,-13.03,57,10,14,0
101,4/17/17,16.39,66,10,14,0
102,4/18/17,-0.34,56,10,15,0
103,4/19/17,-8.62,50,10,16,0
104,4/20/17,13.15,58,7,13,0.17
105,4/21/17,-6.05,51,6,14,0.29
106,4/24/17,3.82,54,10,10,0
107,4/25/17,7.1,52,6,25,0.91
108,4/26/17,-1.53,57,4,18,0.34
109,4/27/17,-0.93,64,3,16,0
110,4/28/17,-9.48,72,5,12,0
111,5/1/17,-0.17,62,6,12,0
112,5/2/17,0.12,69,9,20,0
113,5/3/17,1.63,58,10,18,0
114,5/4/17,-0.27,56,10,13,0
115,5/5/17,6.92,55,4,16,3.02
116,5/8/17,-0.56,51,10,15,0
117,5/9/17,-4.66,55,10,12,0
118,5/10/17,2.84,56,10,7,0
119,5/11/17,-0.4,57,10,7,0
120,5/12/17,-1.54,57,10,12,0
121,5/15/17,8.34,61,10,18,0
122,5/16/17,-3.88,68,10,12,0
123,5/17/17,-25.92,78,10,12,0
124,5/18/17,11.03,84,10,14,0
125,5/19/17,10.36,79,10,16,0
126,5/22/17,6.81,57,4,10,0.59
127,5/23/17,1.38,63,9,10,0
128,5/24/17,2.98,63,10,14,0.04
129,5/25/17,5.53,58,4,16,0.58
130,5/26/17,1.32,65,9,16,0.1
131,5/30/17,1.24,58,8,12,0.06
132,5/31/17,-3.83,67,6,12,0.03
133,6/1/17,14.41,69,10,13,0
134,6/2/17,7.79,67,10,16,0.01
135,6/5/17,-1.73,63,4,16,0.02
136,6/6/17,-2.59,55,8,13,0.06
137,6/7/17,1.11,59,10,12,0
138,6/8/17,-0.48,62,10,9,0
139,6/9/17,-4.62,67,10,13,0
140,6/12/17,3.51,85,10,12,0
141,6/13/17,6.2,86,10,10,0
142,6/14/17,-5.83,77,8,13,0.29
143,6/15/17,8.32,70,10,12,0
144,6/16/17,1.91,66,9,10,0
145,6/19/17,10.91,79,6,13,1.35
146,6/20/17,-13.63,77,8,15,0.03
147,6/21/17,-3.7,77,10,13,0
148,6/22/17,-2.9,76,10,8,0
149,6/23/17,3.65,80,9,15,0.04
150,6/26/17,-4.25,72,10,12,0
151,6/27/17,-16.96,69,9,12,0.18
152,6/28/17,11.99,70,10,15,0
153,6/29/17,-22.68,75,10,12,0
154,6/30/17,-5.79,81,10,13,0
155,7/3/17,-2.38,80,8,16,0.45
156,7/5/17,1.76,78,10,12,0
157,7/6/17,-13.69,74,10,10,0
158,7/7/17,11.66,74,6,14,1.78
159,7/10/17,2.92,76,10,10,0
160,7/11/17,-1.82,80,10,13,0
161,7/12/17,7.5,83,10,16,0
162,7/13/17,2.84,85,10,14,0
163,7/14/17,10.11,69,5,13,0.35
164,7/17/17,-0.36,79,10,12,0
165,7/18/17,4.73,81,10,10,0
166,7/19/17,9.98,85,10,12,0
167,7/20/17,-2.11,86,9,12,0.01
168,7/21/17,5.14,84,10,10,0
169,7/24/17,-2.13,68,6,15,0.74
170,7/25/17,-0.75,67,10,10,0
171,7/26/17,-2.14,71,10,9,0
172,7/27/17,-7.34,72,10,9,0
173,7/28/17,2.98,78,8,12,0
174,7/31/17,-5.64,77,10,9,0
175,8/1/17,-0.75,82,10,8,0
176,8/2/17,-2.81,78,8,12,0.09
177,8/3/17,-3.87,78,8,9,0
178,8/4/17,-0.05,77,8,13,0.15
179,8/7/17,3.77,68,4,9,0.76
180,8/8/17,-3.43,72,8,9,0
181,8/9/17,8.67,75,10,8,0
182,8/10/17,-27.17,76,10,9,0
183,8/11/17,0.28,76,10,12,0
184,8/14/17,10.88,75,10,9,0
185,8/15/17,-4.05,71,4,8,0.45
186,8/16/17,-0.52,79,7,10,0
187,8/17/17,-32.94,76,10,10,0
188,8/18/17,-2.09,78,5,10,0.88
189,8/21/17,2.87,79,10,12,0
190,8/22/17,18.76,81,8,14,0.3
191,8/23/17,-0.84,76,8,10,0
192,8/24/17,-8.94,73,10,10,0
193,8/25/17,-1.67,71,10,9,0
194,8/28/17,-3.11,70,10,16,0
195,8/29/17,14.36,66,9,15,0.1
196,8/30/17,11.53,69,10,13,0.01
197,8/31/17,9,73,10,14,0
198,9/1/17,2.13,63,10,10,0
199,9/5/17,-12.5,77,9,15,0
200,9/6/17,1.71,67,6,14,0.42
201,9/7/17,-2.96,65,8,14,0.01
202,9/8/17,-0.82,65,10,13,0
203,9/11/17,13.59,66,10,9,0
204,9/12/17,4.54,69,10,8,0
205,9/13/17,4.48,74,9,9,0.06
206,9/14/17,1.06,76,9,10,0.02
207,9/15/17,4.56,74,10,8,0
208,9/18/17,1.36,71,9,13,0
209,9/19/17,0.36,74,9,21,0.22
210,9/20/17,1.4,75,10,15,0
211,9/21/17,-6.56,76,10,13,0
212,9/22/17,4.96,74,10,14,0
213,9/25/17,-2.73,79,10,9,0
214,9/26/17,-4.2,76,10,8,0
215,9/27/17,3.74,78,10,12,0
216,9/28/17,6.65,69,10,15,0
217,9/29/17,9.4,62,10,9,0
218,10/2/17,7.92,63,10,8,0
219,10/3/17,4.24,64,10,9,0
220,10/4/17,4.26,66,10,14,0
221,10/5/17,11.21,74,10,14,0
222,10/6/17,1.89,75,10,10,0
223,10/9/17,-6.66,74,6,12,0.26
224,10/10/17,0.65,74,10,9,0
225,10/11/17,4.62,69,10,14,0.06
226,10/12/17,-1.95,60,10,18,0.07
227,10/13/17,-2.49,60,10,12,0
228,10/16/17,2.07,58,9,13,0.01
229,10/17/17,2.19,50,10,10,0
230,10/18/17,-1.61,61,9,10,0
231,10/19/17,8.71,64,10,13,0
232,10/20/17,7.65,65,10,12,0
233,10/23/17,-13.1,68,9,7,0
234,10/24/17,0.47,70,7,16,0.2
235,10/25/17,-9.37,62,10,9,0
236,10/26/17,0.32,56,10,12,0
237,10/27/17,10.81,55,10,10,0
238,10/30/17,-4.92,54,9,20,0.25
239,10/31/17,-0.73,51,10,17,0
240,11/1/17,-3.85,51,10,10,0
241,11/2/17,0.39,65,9,9,0
242,11/3/17,5.91,63,10,15,0
243,11/6/17,3.66,56,9,13,0.01
244,11/7/17,-1.47,45,8,13,0.7
245,11/8/17,5.67,44,10,14,0
246,11/9/17,0.62,47,10,10,0
247,11/10/17,2.12,38,10,18,0.01
248,11/13/17,8.31,43,9,12,0.07
249,11/14/17,1.12,42,10,12,0
250,11/15/17,-4.83,44,10,10,0
251,11/16/17,12.69,50,9,15,0.2
252,11/17/17,-4.09,42,10,12,0
