Date,Temperature Today in Degrees Fahrenheit,Temperature Yesterday,Temperature Tomorrow,Wind Speed in MPH,Humidity Percentage,Dew Pt in Degress Fahrenheit,UV Index,Visibility by Miles,Pressure in mb,Precipitation in Percentage
11/6/17,65,56,47,4,86,61,1,8,1010,23
11/5/17,56,51,65,3,77,49,2,10,1026,0
11/4/17,51,70,56,1,52,34,2,10,1028,0
11/3/17,70,65,51,3,72,60,2,10,1015,2
11/2/17,65,49,70,2,82,59,2,10,1026,1
11/1/17,49,55,65,0,62,37,2,10,1029,1
10/31/17,55,54,49,3,46,35,3,10,1014,3
10/30/17,54,60,55,6,82,49,2,9,989,19
10/29/17,60,64,54,2,88,57,2,10,1012,14
10/28/17,64,56,60,3,68,53,3,10,1018,3
10/27/17,56,59,64,3,55,40,3,10,1017,4
10/26/17,59,68,56,2,95,58,2,4,1001,73
10/25/17,68,72,59,8,94,66,2,7,1006,84
10/24/17,72,58,68,11,79,66,2,10,1014,3
10/23/17,58,66,72,4,90,55,NA,4,1027,0
10/22/17,66,71,58,6,53,49,3,NA,1029,0
10/21/17,71,66,66,6,32,40,3,NA,1025,0
10/20/17,66,68,71,12,35,38,3,NA,1017,0
10/19/17,68,65,66,15,49,48,3,NA,1021,0
10/18/17,65,51,68,8,43,42,3,NA,1024,0
10/17/17,51,58,65,6,43,29,3,NA,1025,0
10/16/17,58,69,51,13,58,43,3,NA,1013,0
10/15/17,69,62,58,13,81,63,NA,NA,1014,0
10/14/17,62,61,69,3,89,58,3,6,1024,9
10/13/17,61,56,62,10,56,45,3,10,1032,0
10/12/17,56,66,61,15,53,39,3,NA,1031,0
10/11/17,66,75,56,9,57,50,3,NA,1022,0
10/10/17,75,73,66,10,60,61,3,NA,1015,0
10/9/17,73,71,75,9,91,71,NA,9,1015,14
10/8/17,71,70,73,16,91,68,3,8,1012,83
10/7/17,70,73,71,6,75,62,3,10,1020,0
10/6/17,73,74,70,6,43,49,3,NA,1018,0
10/5/17,74,68,73,10,46,52,3,NA,1017,0
