Year,CPI,Naturalized
1913.00,9.88,83561.00
1914.00,10.02,104145.00
1915.00,10.11,91848.00
1916.00,10.88,87831.00
1917.00,12.83,88104.00
1918.00,15.04,151449.00
1919.00,17.33,217358.00
1920.00,20.04,177683.00
1921.00,17.85,181292.00
1922.00,16.75,170447.00
1923.00,17.05,145084.00
1924.00,17.13,150510.00
1925.00,17.54,152457.00
1926.00,17.70,146331.00
1927.00,17.36,199804.00
1928.00,17.16,233155.00
1929.00,17.16,224728.00
1930.00,16.70,169377.00
1931.00,15.21,143495.00
1932.00,13.64,136600.00
1933.00,12.93,113363.00
1934.00,13.38,113669.00
1935.00,13.73,118945.00
1936.00,13.87,141265.00
1937.00,14.38,164976.00
1938.00,14.09,162078.00
1939.00,13.91,188813.00
1940.00,14.01,235260.00
1941.00,14.73,277294.00
1942.00,16.33,270364.00
1943.00,17.31,318933.00
1944.00,17.59,441979.00
1945.00,17.99,231402.00
1946.00,19.52,150062.00
1947.00,22.33,93904.00
1948.00,24.04,70150.00
1949.00,23.81,66594.00
1950.00,24.07,66346.00
1951.00,25.96,54716.00
1952.00,26.55,88655.00
1953.00,26.77,92051.00
1954.00,26.85,117831.00
1955.00,26.78,209526.00
1956.00,27.18,145885.00
1957.00,28.09,138043.00
1958.00,28.86,119866.00
1959.00,29.15,103931.00
1960.00,29.58,119442.00
1961.00,29.89,132450.00
1962.00,30.25,127307.00
1963.00,30.63,124178.00
1964.00,31.02,112234.00
1965.00,31.51,104299.00
1966.00,32.46,103059.00
1967.00,33.36,104902.00
1968.00,34.78,102726.00
1969.00,36.68,98709.00
1970.00,38.83,110399.00
1971.00,40.49,108407.00
1972.00,41.82,116215.00
1973.00,44.40,120404.00
1974.00,49.31,131153.00
1975.00,53.82,140749.00
1976.00,56.91,189988.00
1977.00,60.61,159873.00
1978.00,65.23,171971.00
1979.00,72.58,163107.00
1980.00,82.41,156627.00
1981.00,90.93,164389.00
1982.00,96.50,141004.00
1983.00,99.60,178415.00
1984.00,103.88,195862.00
1985.00,107.57,242451.00
1986.00,109.61,279497.00
1987.00,113.63,223249.00
1988.00,118.26,240775.00
1989.00,123.97,232655.00
1990.00,130.66,267586.00
1991.00,136.19,307394.00
1992.00,140.32,239664.00
1993.00,144.46,313590.00
1994.00,148.23,429123.00
1995.00,152.38,485720.00
1996.00,156.85,1040991.00
1997.00,160.52,596010.00
1998.00,163.01,461169.00
1999.00,166.58,837418.00
2000.00,172.20,886026.00
2001.00,177.07,606259.00
2002.00,179.88,572646.00
2003.00,183.96,462435.00
2004.00,188.88,537151.00
2005.00,195.29,604280.00
2006.00,201.59,702589.00
2007.00,207.34,660477.00
2008.00,215.30,1046539.00
2009.00,214.54,743715.00
2010.00,218.06,619913.00
2011.00,224.94,694193.00
2012.00,229.59,757434.00
2013.00,232.96,779929.00
