Year,Maximum Extremes,Minimum Extremes,Drought,Climate Index,PPM of CO2
1910.00,0.25,0.12,0.00,0.10,3.00
1911.00,0.07,0.15,0.10,0.13,3.01
1912.00,0.10,0.01,0.37,0.19,3.01
1913.00,0.10,0.38,0.00,0.13,3.01
1914.00,0.03,0.04,0.29,0.16,3.01
1915.00,0.19,0.12,0.04,0.14,3.02
1916.00,0.12,0.10,0.02,0.14,3.02
1917.00,0.53,0.98,0.07,0.36,3.02
1918.00,0.04,0.23,0.00,0.08,3.03
1919.00,0.21,0.63,0.14,0.22,3.03
1920.00,0.13,0.12,0.20,0.15,3.03
1921.00,0.51,0.25,0.17,0.24,3.04
1922.00,0.06,0.03,0.16,0.10,3.04
1923.00,0.33,0.11,0.02,0.13,3.05
1924.00,0.10,0.14,0.15,0.20,3.05
1925.00,0.44,0.17,0.50,0.28,3.05
1926.00,0.02,0.01,0.36,0.13,3.06
1927.00,0.31,0.01,0.56,0.19,3.06
1928.00,0.06,0.01,0.69,0.26,3.07
1929.00,0.35,0.02,0.63,0.28,3.07
1930.00,0.20,0.07,0.44,0.19,3.08
1931.00,0.88,0.18,0.47,0.46,3.08
1932.00,0.06,0.00,0.15,0.18,3.08
1933.00,0.17,0.00,0.05,0.10,3.09
1934.00,0.18,0.22,0.14,0.16,3.09
1935.00,0.01,0.00,0.03,0.06,3.10
1936.00,0.08,0.03,0.08,0.15,3.10
1937.00,0.29,0.14,0.10,0.16,3.11
1938.00,0.01,0.04,0.06,0.07,3.11
1939.00,0.08,0.00,0.07,0.09,3.11
1940.00,0.03,0.24,0.00,0.14,3.11
1941.00,0.50,0.34,0.36,0.31,3.11
1942.00,0.17,0.08,0.14,0.09,3.11
1943.00,0.02,0.51,0.06,0.25,3.11
1944.00,0.00,0.04,0.04,0.07,3.10
1945.00,0.01,0.00,0.05,0.12,3.10
1946.00,0.01,0.01,0.24,0.12,3.10
1947.00,0.14,0.01,0.31,0.20,3.10
1948.00,0.01,0.01,0.28,0.20,3.11
1949.00,0.00,0.03,0.13,0.09,3.11
1950.00,0.10,0.26,0.02,0.16,3.11
1951.00,0.01,0.01,0.10,0.10,3.12
1952.00,0.03,0.18,0.10,0.14,3.12
1953.00,0.35,0.07,0.04,0.22,3.13
1954.00,0.74,0.04,0.75,0.44,3.13
1955.00,0.00,0.29,0.19,0.18,3.14
1956.00,0.00,0.31,0.07,0.14,3.14
1957.00,0.13,0.00,0.11,0.13,3.15
1958.00,0.03,0.00,0.12,0.09,3.15
1959.00,0.01,0.03,0.27,0.20,3.16
1960.00,0.00,0.00,0.22,0.09,3.17
1961.00,0.01,0.15,0.10,0.12,3.18
1962.00,0.18,0.09,0.06,0.10,3.18
1963.00,0.02,0.57,0.11,0.20,3.19
1964.00,0.09,0.13,0.43,0.26,3.20
1965.00,0.15,0.01,0.22,0.10,3.20
1966.00,0.12,0.52,0.13,0.20,3.22
1967.00,0.88,0.94,0.15,0.47,3.22
1968.00,0.06,0.29,0.17,0.17,3.23
1969.00,0.06,0.08,0.05,0.10,3.24
1970.00,0.01,0.01,0.00,0.07,3.25
1971.00,0.00,0.17,0.34,0.19,3.26
1972.00,0.36,0.27,0.14,0.24,3.27
1973.00,0.02,0.08,0.25,0.12,3.29
1974.00,0.55,0.86,0.11,0.34,3.30
1975.00,0.17,0.00,0.60,0.24,3.31
1976.00,0.95,0.94,0.23,0.44,3.32
1977.00,0.01,0.01,0.02,0.11,3.33
1978.00,0.16,0.00,0.06,0.12,3.35
1979.00,0.22,0.02,0.46,0.22,3.37
1980.00,0.03,0.00,0.05,0.10,3.38
1981.00,0.03,0.10,0.34,0.15,3.40
1982.00,0.10,0.01,0.07,0.10,3.41
1983.00,0.01,0.01,0.10,0.09,3.42
1984.00,0.00,0.04,0.00,0.09,3.44
1985.00,0.16,0.86,0.06,0.32,3.45
1986.00,0.31,0.89,0.43,0.38,3.47
1987.00,0.02,0.11,0.01,0.06,3.48
1988.00,0.00,0.16,0.10,0.10,3.51
1989.00,0.20,0.01,0.64,0.28,3.53
1990.00,0.62,0.00,0.18,0.32,3.54
1991.00,0.01,0.00,0.20,0.11,3.55
1992.00,0.71,0.01,0.06,0.25,3.56
1993.00,0.15,0.01,0.04,0.11,3.57
1994.00,0.25,0.03,0.23,0.22,3.58
1995.00,0.03,0.03,0.16,0.20,3.60
1996.00,0.49,0.00,0.14,0.21,3.62
1997.00,0.50,0.09,0.07,0.21,3.63
1998.00,0.87,0.69,0.03,0.44,3.66
1999.00,0.08,0.00,0.19,0.21,3.68
2000.00,0.03,0.02,0.50,0.14,3.69
2001.00,0.00,0.01,0.15,0.09,3.71
2002.00,0.01,0.68,0.15,0.25,3.73
2003.00,0.02,0.24,0.61,0.31,3.75
2004.00,0.03,0.89,0.14,0.38,3.77
2005.00,0.15,0.85,0.00,0.25,3.79
2006.00,0.00,0.01,0.41,0.21,3.81
2007.00,0.59,0.25,0.91,0.43,3.83
2008.00,0.02,0.01,0.22,0.16,3.85
2009.00,0.15,0.26,0.04,0.20,3.86
2010.00,0.97,0.51,0.04,0.36,3.89
2011.00,0.43,0.18,0.62,0.33,3.91
