"Hurricane Season Year (June - November)	Step 1 (Extremes in Maximum Temperatures)	Step 2 (Extremes In Minimum Temperature) 	Step 3 (Extremes in Drought Severity (PDSI)	Total Climate Extreme Index (All Steps)	CO2 (PPM)"
"1910	24.80%	12.10%	0.00%	10.20%	300.10%"
"1911	7.00%	15.00%	10.40%	13.22%	300.60%"
"1912	10.40%	0.50%	37.00%	18.56%	301.00%"
"1913	10.00%	38.30%	0.00%	12.56%	301.30%"
"1914	2.70%	3.90%	28.60%	16.42%	301.40%"
"1915	18.90%	12.10%	4.00%	13.80%	301.60%"
"1916	12.30%	9.50%	2.20%	13.86%	302.00%"
"1917	53.40%	98.20%	6.70%	35.84%	302.40%"
"1918	3.50%	22.70%	0.00%	8.36%	302.80%"
"1919	20.50%	62.50%	14.10%	22.42%	303.00%"
"1920	13.30%	12.40%	20.40%	15.16%	303.40%"
"1921	50.90%	25.40%	17.20%	23.64%	303.70%"
"1922	5.90%	2.80%	16.40%	9.68%	304.10%"
"1923	33.20%	11.40%	1.80%	13.06%	304.50%"
"1924	10.20%	13.90%	15.40%	20.32%	304.90%"
"1925	44.40%	16.50%	50.20%	27.64%	305.30%"
"1926	2.40%	0.50%	35.70%	13.34%	305.80%"
"1927	31.10%	0.80%	55.60%	19.38%	306.20%"
"1928	5.50%	0.70%	68.60%	26.04%	306.60%"
"1929	34.90%	1.80%	63.10%	28.06%	307.20%"
"1930	20.20%	7.30%	43.80%	18.52%	307.50%"
"1931	87.60%	18.00%	47.40%	46.10%	308.00%"
"1932	6.10%	0.40%	14.80%	17.56%	308.30%"
"1933	16.90%	0.00%	5.30%	10.48%	308.90%"
"1934	17.80%	21.70%	13.60%	15.52%	309.30%"
"1935	0.60%	0.10%	3.20%	6.04%	309.70%"
"1936	8.40%	2.50%	7.90%	15.42%	310.10%"
"1937	29.20%	14.30%	9.50%	15.58%	310.60%"
"1938	1.40%	4.10%	5.80%	7.00%	311.00%"
"1939	7.50%	0.30%	6.60%	9.36%	311.20%"
"1940	3.30%	24.20%	0.00%	14.30%	311.30%"
"1941	50.00%	33.60%	35.70%	31.36%	311"
"1942	17.00%	7.50%	14.30%	9.40%	310.70%"
"1943	2.00%	50.80%	5.90%	24.76%	310.50%"
"1944	0.00%	3.80%	3.70%	7.38%	310.20%"
"1945	0.50%	0.00%	5.30%	11.52%	310.30%"
"1946	0.50%	1.00%	23.90%	11.78%	310.30%"
"1947	14.00%	1.10%	31.20%	19.66%	310.40%"
"1948	0.90%	1.20%	28.30%	19.60%	310.50%"
"1949	0.00%	2.50%	13.10%	9.44%	310.90%"
"1950	10.00%	26.00%	1.60%	15.58%	311.30%"
"1951	1.20%	0.90%	10.00%	9.82%	311.80%"
"1952	3.20%	18.10%	10.20%	13.62%	312.20%"
"1953	35.30%	7.30%	4.00%	21.90%	312.60%"
"1954	73.90%	3.50%	75.00%	44.12%	313.20%"
"1955	0.10%	28.50%	18.60%	18.46%	313.70%"
"1956	0.30%	31.20%	7.30%	13.84%	314.30%"
"1957	12.50%	0.10%	11.40%	13.12%	314.80%"
"1958	2.50%	0.20%	11.90%	8.80%	315.30%"
"1959	0.50%	3.00%	27.40%	20.20%	316.20%"
"1960	0.00%	0.30%	21.50%	8.52%	317.00%"
"1961	1.10%	15.30%	10.30%	11.92%	317.70%"
"1962	17.70%	9.00%	5.90%	9.80%	318.40%"
"1963	2.40%	56.80%	10.50%	19.82%	319.00%"
"1964	8.60%	12.60%	42.80%	26.18%	319.60%"
