Hurricane Season Year (June - November),Step 1 (Extremes in Maximum Temperatures),Step 2 (Extremes In Minimum Temperature) ,Step 3 (Extremes in Drought Severity (PDSI),Total Climate Extreme Index (All Steps)
1910,24.80%,12.10%,0.00%,10.20%
1911,7.00%,15.00%,10.40%,13.22%
1912,10.40%,0.50%,37.00%,18.56%
1913,10.00%,38.30%,0.00%,12.56%
1914,2.70%,3.90%,28.60%,16.42%
1915,18.90%,12.10%,4.00%,13.80%
1916,12.30%,9.50%,2.20%,13.86%
1917,53.40%,98.20%,6.70%,35.84%
1918,3.50%,22.70%,0.00%,8.36%
1919,20.50%,62.50%,14.10%,22.42%
1920,13.30%,12.40%,20.40%,15.16%
1921,50.90%,25.40%,17.20%,23.64%
1922,5.90%,2.80%,16.40%,9.68%
1923,33.20%,11.40%,1.80%,13.06%
1924,10.20%,13.90%,15.40%,20.32%
1925,44.40%,16.50%,50.20%,27.64%
1926,2.40%,0.50%,35.70%,13.34%
1927,31.10%,0.80%,55.60%,19.38%
1928,5.50%,0.70%,68.60%,26.04%
1929,34.90%,1.80%,63.10%,28.06%
1930,20.20%,7.30%,43.80%,18.52%
1931,87.60%,18.00%,47.40%,46.10%
1932,6.10%,0.40%,14.80%,17.56%
1933,16.90%,0.00%,5.30%,10.48%
1934,17.80%,21.70%,13.60%,15.52%
1935,0.60%,0.10%,3.20%,6.04%
1936,8.40%,2.50%,7.90%,15.42%
1937,29.20%,14.30%,9.50%,15.58%
1938,1.40%,4.10%,5.80%,7.00%
1939,7.50%,0.30%,6.60%,9.36%
1940,3.30%,24.20%,0.00%,14.30%
1941,50.00%,33.60%,35.70%,31.36%
1942,17.00%,7.50%,14.30%,9.40%
1943,2.00%,50.80%,5.90%,24.76%
1944,0.00%,3.80%,3.70%,7.38%
1945,0.50%,0.00%,5.30%,11.52%
1946,0.50%,1.00%,23.90%,11.78%
1947,14.00%,1.10%,31.20%,19.66%
1948,0.90%,1.20%,28.30%,19.60%
1949,0.00%,2.50%,13.10%,9.44%
1950,10.00%,26.00%,1.60%,15.58%
1951,1.20%,0.90%,10.00%,9.82%
1952,3.20%,18.10%,10.20%,13.62%
1953,35.30%,7.30%,4.00%,21.90%
1954,73.90%,3.50%,75.00%,44.12%
1955,0.10%,28.50%,18.60%,18.46%
1956,0.30%,31.20%,7.30%,13.84%
1957,12.50%,0.10%,11.40%,13.12%
1958,2.50%,0.20%,11.90%,8.80%
1959,0.50%,3.00%,27.40%,20.20%
1960,0.00%,0.30%,21.50%,8.52%
1961,1.10%,15.30%,10.30%,11.92%
1962,17.70%,9.00%,5.90%,9.80%
1963,2.40%,56.80%,10.50%,19.82%
1964,8.60%,12.60%,42.80%,26.18%
1965,14.80%,1.00%,22.10%,10.30%
1966,12.00%,51.90%,12.50%,20.08%
1967,88.40%,93.80%,14.60%,46.70%
1968,5.90%,29.30%,17.40%,16.62%
1969,5.70%,8.00%,4.60%,10.10%
1970,1.20%,1.20%,0.00%,7.46%
1971,0.00%,16.90%,34.40%,19.42%
1972,36.40%,27.20%,13.70%,24.20%
1973,2.00%,8.30%,25.20%,11.82%
1974,55.10%,85.50%,10.70%,34.02%
1975,16.90%,0.40%,60.30%,23.90%
1976,95.20%,94.20%,23.10%,43.62%
1977,0.70%,0.50%,2.40%,11.14%
1978,15.90%,0.20%,5.70%,11.58%
1979,22.40%,2.20%,46.40%,21.70%
1980,2.80%,0.20%,5.00%,9.92%
1981,3.30%,9.60%,33.70%,15.36%
1982,9.60%,1.10%,6.70%,9.62%
1983,1.00%,0.90%,9.80%,9.28%
1984,0.00%,3.50%,0.00%,9.38%
1985,16.40%,86.30%,6.40%,32.10%
1986,31.20%,88.80%,42.90%,38.04%
1987,2.00%,11.20%,1.30%,6.18%
1988,0.30%,16.10%,9.90%,10.12%
1989,20.40%,1.10%,63.50%,27.70%
1990,62.30%,0.10%,18.10%,31.50%
1991,0.90%,0.30%,19.70%,11.00%
1992,71.40%,0.90%,6.10%,25.30%
1993,14.60%,0.80%,4.10%,11.46%
1994,25.00%,3.30%,23.20%,21.66%
1995,2.80%,3.40%,15.80%,20.18%
1996,49.30%,0.30%,14.10%,21.04%
1997,50.30%,8.70%,7.20%,20.70%
1998,87.20%,68.70%,2.70%,44.32%
1999,7.50%,0.40%,18.60%,21.06%
2000,2.60%,1.60%,50.30%,13.76%
2001,0.10%,0.80%,15.10%,8.98%
2002,0.80%,67.90%,14.60%,25.22%
2003,1.80%,23.70%,61.20%,30.78%
2004,3.10%,88.80%,14.10%,37.92%
2005,14.80%,84.70%,0.00%,24.86%
2006,0.40%,1.00%,41.10%,20.56%
2007,59.10%,25.10%,91.20%,43.28%
2008,1.80%,1.40%,22.20%,15.64%
2009,15.10%,25.60%,4.30%,19.64%
2010,97.30%,50.90%,3.60%,36.02%
2011,43.00%,18.20%,61.50%,32.80%
2012,6.20%,1.40%,13.00%,8.80%
2013,49.70%,19.30%,45.40%,35.06%
2014,9.20%,1.60%,0.00%,8.30%
2015,17.90%,97.50%,0.90%,37.92%
2016,95.70%,93.40%,27.10%,51.20%
