Combined_ID,Year,How.happy.do.you.feel.right.now.,How.satisfied.are.you.with.your.life.in.general.,How.satisfied.are.you.with.Somerville.as.a.place.to.live.,In.general..how.similar.are.you.to.other.people.you.know._2011,When.making.decisions..are.you.more.likely.to.seek.advice.or.decide.for.yourself._2011.,How.satisfied.are.you.with.your.neighborhood.,How.proud.are.you.to.be.a.Somerville.resident._2015,How.would.you.rate.the.following..The.availability.of.information.about.city.services._2015,The.availability.of.affordable.housing_2011,How.would.you.rate.the.following..The.cost.of.housing.,How.would.you.rate.the.following..The.overall.quality.of.public.schools.in.your.community._2011,How.would.you.rate.the.following..The.overall.quality.of.public.schools.,How.would.you.rate.the.following..The.beauty.or.physical.setting_2011,How.would.you.rate.the.following..The.beauty.or.physical.setting.of.Somerville_2013,How.would.you.rate.the.following..The.effectiveness.of.the.local.police_2011_2013,How.would.you.rate.the.following..Your.trust.in.the.local.police_2015,How.would.you.rate.the.following..The.maintenance.of.streets..sidewalks..and..squares_2013,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks_2015,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night_2013,How.safe.do.you.feel.walking.in.your.community.at.night._2015,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood.,How.satisfied.are.you.with.the.appearance.of.parks.in.your.neighborhood._2013,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood.,What.is.your.sex.,What.is.your.gender._2011,Age.,Marital.status._2011,What.language..other.than.English..do.you.speak.at.home._2015,What.is.your.race_2011_2013,Are.you.of.Hispanic..Latino..or.Spanish.origin._2013,What.is.your.race.or.ethnicity._2015,Do.you.have.children.age.18.or.younger.who.live.with.you.,Describe.your.housing.status.in.Somerville.,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years.,How.long.have.you.lived.here.,What.is.your.annual.household.income.,What.neighborhood.do.you.live.in.,Are.you.a.student.,Ward,Precinct
1,2015,7,5,7,NA,NA,5,9,3,NA,2,NA,NA,NA,NA,NA,2,NA,1,3,NA,8,3,NA,4,Male,NA,35-44,NA,Italian,NA,NA,"White, Hispanic / Latino",No,Rent,No,4-7 years,"$100,000 to $149,999",Winter Hill,No,4,3
2,2015,8,8,7,NA,NA,8,7,3,NA,3,NA,3,NA,NA,NA,4,NA,2,4,NA,8,7,NA,8,Female,NA,25-34,NA,,NA,NA,White,No,Rent,Yes,1-3 years,"$25,000 to $49,999",Teele Square,Yes,7,2
3,2015,5,9,6,NA,NA,7,5,3,NA,2,NA,3,NA,NA,NA,5,NA,4,3,NA,7,7,NA,7,Male,NA,65-74,NA,,NA,NA,White,No,Rent,No,21 years or more,"$25,000 to $49,999",Ward 3,No,3,2
4,2015,5,8,9,NA,NA,9,9,5,NA,3,NA,3,NA,NA,NA,3,NA,3,5,NA,9,8,NA,8,Female,NA,55-64,NA,,NA,NA,White,No,Own,No,16-20 years,,Union Square,No,3,1
5,2015,7,9,8,NA,NA,7,7,5,NA,4,NA,3,NA,NA,NA,3,NA,3,5,NA,9,7,NA,7,Male,NA,25-34,NA,,NA,NA,White,Yes,Own,No,4-7 years,"$150,000 or more",Near the hospital,No,5,3
6,2015,7,8,9,NA,NA,9,8,5,NA,3,NA,NA,NA,NA,NA,3,NA,4,5,NA,7,8,NA,7,Female,NA,25-34,NA,,NA,NA,White,No,Rent,No,1-3 years,"$10,000 to $24,999",Teele Square,Yes,7,2
7,2015,10,10,10,NA,NA,10,10,5,NA,5,NA,3,NA,NA,NA,5,NA,5,5,NA,10,10,NA,10,Male,NA,55-64,NA,,NA,NA,White,No,Own,No,21 years or more,"$150,000 or more",Prospect Hill,No,3,1
8,2015,7,8,8,NA,NA,4,7,3,NA,1,NA,2,NA,NA,NA,2,NA,1,3,NA,4,2,NA,4,Female,NA,55-64,NA,,NA,NA,White,No,Own,No,16-20 years,"$75,000 to $99,999","East Somerville, MA",No,1,3
9,2015,8,8,9,NA,NA,9,9,5,NA,4,NA,4,NA,NA,NA,4,NA,4,5,NA,9,9,NA,10,Male,NA,25-34,NA,,NA,NA,White,No,Rent,No,4-7 years,,Winter Hill,No,NA,NA
10,2015,7,8,7,NA,NA,7,5,4,NA,1,NA,4,NA,NA,NA,4,NA,4,4,NA,9,8,NA,9,Male,NA,35-44,NA,,NA,NA,White,No,Rent,,4-7 years,"$150,000 or more",Davis Square,No,6,2
