Year,Month,Total,BPD,BFD,EMS
2010,11,2603,1969,259,375
2010,11,2414,1852,206,356
2010,11,2487,1872,235,380
2010,11,2328,1695,241,392
2010,11,2478,1915,225,338
2010,11,2297,1770,208,319
2010,11,2113,1561,183,369
2010,11,2542,1910,258,374
2010,11,2523,1961,227,335
2010,11,2496,1892,230,374
2010,11,2108,1622,164,322
2010,11,2665,2032,254,379
2010,11,2443,1812,244,387
2010,11,2136,1592,187,357
2010,11,2367,1750,231,386
2010,11,2500,1880,237,383
2010,11,2463,1849,243,371
2010,11,2533,1955,198,380
2010,11,2631,1975,245,411
2010,11,2324,1778,185,361
2010,11,2020,1467,185,368
2010,11,2431,1875,208,348
2010,11,2489,1920,203,366
2010,11,2217,1682,196,339
2010,11,1413,907,215,291
2010,11,1935,1436,169,330
2010,11,2080,1555,193,332
2010,11,1862,1401,169,292
2010,11,2318,1687,257,374
2010,11,2400,1798,220,382
2010,12,2497,1927,212,358
2010,12,2483,1887,230,366
2010,12,2577,1976,221,380
2010,12,2176,1635,188,353
2010,12,1985,1500,175,310
2010,12,2198,1612,225,361
2010,12,2306,1727,216,363
2010,12,2324,1788,199,337
2010,12,2394,1789,229,376
2010,12,2447,1813,264,370
2010,12,2248,1591,256,401
2010,12,1910,1332,218,360
2010,12,2311,1745,223,343
2010,12,2289,1762,176,351
2010,12,2334,1733,228,373
2010,12,2232,1704,194,334
2010,12,2504,1852,228,424
2010,12,2267,1685,210,372
2010,12,1959,1439,201,319
2010,12,2646,1888,303,455
2010,12,2355,1767,215,373
2010,12,2456,1870,205,381
2010,12,2302,1738,207,357
2010,12,1787,1286,181,320
2010,12,1086,706,148,232
2010,12,1533,1064,175,294
2010,12,1862,1231,240,391
2010,12,2228,1578,266,384
2010,12,2215,1623,208,384
2010,12,2237,1646,205,386
2010,12,2291,1660,229,402
2011,1,2517,1823,218,476
2011,1,1796,1303,169,324
2011,1,2258,1656,224,378
2011,1,2348,1768,205,375
2011,1,2195,1699,174,322
2011,1,2355,1810,203,342
2011,1,2449,1904,202,343
2011,1,1878,1365,185,328
2011,1,1779,1299,146,334
2011,1,2229,1738,164,327
2011,1,2410,1826,227,357
2011,1,2975,1995,642,338
2011,1,2383,1736,292,355
2011,1,2443,1832,242,369
2011,1,2232,1663,218,351
2011,1,1895,1367,193,335
2011,1,1992,1537,175,280
2011,1,2526,1819,303,404
2011,1,2653,2014,241,398
2011,1,2614,1971,273,370
2011,1,2200,1670,184,346
2011,1,2308,1719,215,374
2011,1,2213,1543,246,424
2011,1,2561,1860,341,360
2011,1,2684,1951,375,358
2011,1,2432,1881,225,326
2011,1,2530,1902,274,354
2011,1,2787,2127,259,401
2011,1,2492,1913,213,366
2011,1,2226,1662,191,373
2011,1,2616,2015,219,382
2011,2,2507,1896,223,388
2011,2,2217,1687,214,316
2011,2,2675,2040,238,397
2011,2,2833,2150,278,405
2011,2,2506,1890,240,376
2011,2,2230,1647,232,351
2011,2,2750,2009,269,472
2011,2,2593,1972,244,377
2011,2,2582,1988,223,371
2011,2,2584,1988,214,382
2011,2,2642,2049,206,387
2011,2,2359,1755,247,357
2011,2,2196,1653,196,347
2011,2,2523,1897,221,405
2011,2,2489,1907,219,363
2011,2,2574,1949,221,404
2011,2,2571,1975,235,361
2011,2,2832,2120,286,426
2011,2,2404,1819,222,363
2011,2,2011,1455,226,330
2011,2,2079,1557,201,321
2011,2,2336,1782,197,357
2011,2,2397,1836,210,351
2011,2,2335,1781,193,361
2011,2,2345,1767,238,340
2011,2,2334,1770,213,351
2011,2,1886,1389,175,322
2011,2,2409,1821,215,373
2011,3,2625,2061,226,338
2011,3,2454,1924,179,351
2011,3,2471,1900,231,340
2011,3,2553,1972,220,361
2011,3,2520,1842,265,413
2011,3,2175,1600,215,360
2011,3,2456,1887,207,362
2011,3,2479,1887,236,356
2011,3,2553,1960,229,364
2011,3,2403,1852,196,355
2011,3,2617,2001,223,393
2011,3,2359,1763,203,393
2011,3,2030,1538,179,313
2011,3,2523,1910,214,399
2011,3,2442,1887,202,353
2011,3,2354,1816,211,327
2011,3,2635,2036,219,380
2011,3,2836,2171,242,423
2011,3,2325,1804,183,338
2011,3,2335,1760,187,388
2011,3,2339,1746,224,369
2011,3,2507,1945,200,362
2011,3,2489,1914,201,374
2011,3,2442,1870,223,349
2011,3,2575,2054,182,339
2011,3,2285,1741,207,337
2011,3,1993,1500,173,320
2011,3,2442,1885,195,362
2011,3,2480,1914,218,348
2011,3,2588,2083,183,322
2011,3,2485,1965,193,327
2011,4,2509,1931,248,330
2011,4,2392,1814,203,375
2011,4,2234,1685,177,372
2011,4,2448,1861,230,357
2011,4,2619,1989,231,399
2011,4,2583,2016,226,341
2011,4,2590,2029,195,366
2011,4,2615,2036,208,371
2011,4,2559,1949,241,369
2011,4,2199,1664,195,340
2011,4,2649,2022,232,395
2011,4,2462,1963,189,310
2011,4,2294,1801,190,303
2011,4,2589,1972,218,399
2011,4,2651,2072,209,370
2011,4,2308,1768,188,352
2011,4,2194,1606,220,368
2011,4,2387,1727,210,450
2011,4,2383,1812,200,371
2011,4,2301,1743,200,358
2011,4,2424,1835,201,388
2011,4,2523,1893,244,386
2011,4,2175,1657,198,320
2011,4,1978,1462,193,323
2011,4,2367,1822,200,345
2011,4,2414,1891,197,326
2011,4,2634,2061,210,363
2011,4,2726,2179,212,335
2011,4,2989,2322,252,415
2011,4,2562,1967,244,351
2011,5,2354,1818,199,337
2011,5,2630,2024,220,386
2011,5,2606,2042,216,348
2011,5,2675,2093,221,361
2011,5,2691,2061,209,421
2011,5,2946,2309,234,403
2011,5,2560,1933,232,395
2011,5,2232,1654,208,370
2011,5,2641,2081,226,334
