CurrentTime,Line,Destination,Stop,SecondsAway,PosTimestamp
1512077925,Orange,Oak Grove,Forest Hills,314,1512077805
1512077925,Orange,Oak Grove,Green Street,408,1512077805
1512077925,Orange,Oak Grove,Stony Brook,517,1512077805
1512077925,Orange,Oak Grove,Jackson Square,634,1512077805
1512077925,Orange,Oak Grove,Roxbury Crossing,738,1512077805
1512077925,Orange,Oak Grove,Ruggles,869,1512077805
1512077925,Orange,Oak Grove,Mass Ave,972,1512077805
1512077925,Orange,Oak Grove,Back Bay,1105,1512077805
1512077925,Orange,Oak Grove,Malden Center,184,1512077838
1512077925,Orange,Oak Grove,Oak Grove,362,1512077838
1512077925,Orange,Oak Grove,Forest Hills,674,
1512077925,Orange,Oak Grove,Green Street,768,
1512077925,Orange,Oak Grove,Stony Brook,877,
1512077925,Orange,Oak Grove,Jackson Square,995,
1512077925,Orange,Oak Grove,Roxbury Crossing,1099,
1512077925,Orange,Oak Grove,Forest Hills,-45,1512077620
1512077925,Orange,Oak Grove,Green Street,48,1512077620
1512077925,Orange,Oak Grove,Stony Brook,156,1512077620
1512077925,Orange,Oak Grove,Jackson Square,273,1512077620
1512077925,Orange,Oak Grove,Roxbury Crossing,378,1512077620
1512077925,Orange,Oak Grove,Ruggles,509,1512077620
1512077925,Orange,Oak Grove,Mass Ave,612,1512077620
1512077925,Orange,Oak Grove,Back Bay,745,1512077620
1512077925,Orange,Oak Grove,Tufts Medical,893,1512077620
1512077925,Orange,Oak Grove,Chinatown,997,1512077620
1512077925,Orange,Forest Hills,Stony Brook,27,1512077845
1512077925,Orange,Forest Hills,Green Street,128,1512077845
1512077925,Orange,Forest Hills,Forest Hills,288,1512077845
1512077925,Orange,Forest Hills,Oak Grove,362,
1512077925,Orange,Forest Hills,Malden Center,431,
1512077925,Orange,Forest Hills,Wellington,671,
1512077925,Orange,Forest Hills,Assembly,840,
1512077925,Orange,Forest Hills,Sullivan,960,
1512077925,Orange,Forest Hills,Community College,1102,
1512077925,Orange,Forest Hills,Community College,10,1512077851
1512077925,Orange,Forest Hills,North Station,179,1512077851
1512077925,Orange,Forest Hills,Haymarket,276,1512077851
1512077925,Orange,Forest Hills,State Street,371,1512077851
1512077925,Orange,Forest Hills,Downtown Crossing,464,1512077851
1512077925,Orange,Forest Hills,Chinatown,572,1512077851
1512077925,Orange,Forest Hills,Tufts Medical,650,1512077851
1512077925,Orange,Forest Hills,Back Bay,778,1512077851
1512077925,Orange,Forest Hills,Mass Ave,934,1512077851
1512077925,Orange,Forest Hills,Ruggles,1042,1512077851
1512077925,Orange,Oak Grove,Mass Ave,0,1512077822
1512077925,Orange,Oak Grove,Back Bay,132,1512077822
1512077925,Orange,Oak Grove,Tufts Medical,278,1512077822
1512077925,Orange,Oak Grove,Chinatown,382,1512077822
1512077925,Orange,Oak Grove,Downtown Crossing,478,1512077822
1512077925,Orange,Oak Grove,State Street,603,1512077822
1512077925,Orange,Oak Grove,Haymarket,705,1512077822
1512077925,Orange,Oak Grove,North Station,804,1512077822
1512077925,Orange,Oak Grove,Community College,960,1512077822
1512077925,Orange,Oak Grove,Sullivan,1105,1512077822
1512077925,Orange,Oak Grove,Forest Hills,1034,
1512077925,Orange,Oak Grove,Green Street,1128,
1512077925,Orange,Oak Grove,Downtown Crossing,27,1512077857
1512077925,Orange,Oak Grove,State Street,152,1512077857
1512077925,Orange,Oak Grove,Haymarket,254,1512077857
1512077925,Orange,Oak Grove,North Station,353,1512077857
1512077925,Orange,Oak Grove,Community College,509,1512077857
1512077925,Orange,Oak Grove,Sullivan,656,1512077857
1512077925,Orange,Oak Grove,Assembly,781,1512077857
1512077925,Orange,Oak Grove,Wellington,981,1512077857
1512077925,Orange,Forest Hills,Tufts Medical,-31,1512077816
1512077925,Orange,Forest Hills,Back Bay,96,1512077816
1512077925,Orange,Forest Hills,Mass Ave,252,1512077816
1512077925,Orange,Forest Hills,Ruggles,360,1512077816
1512077925,Orange,Forest Hills,Roxbury Crossing,536,1512077816
1512077925,Orange,Forest Hills,Jackson Square,651,1512077816
1512077925,Orange,Forest Hills,Stony Brook,759,1512077816
1512077925,Orange,Forest Hills,Green Street,860,1512077816
1512077925,Orange,Forest Hills,Forest Hills,1020,1512077816
1512077925,Orange,Forest Hills,Haymarket,-43,1512077851
1512077925,Orange,Forest Hills,State Street,51,1512077851
1512077925,Orange,Forest Hills,Downtown Crossing,144,1512077851
1512077925,Orange,Forest Hills,Chinatown,252,1512077851
1512077925,Orange,Forest Hills,Tufts Medical,330,1512077851
1512077925,Orange,Forest Hills,Back Bay,458,1512077851
1512077925,Orange,Forest Hills,Mass Ave,614,1512077851
1512077925,Orange,Forest Hills,Ruggles,722,1512077851
1512077925,Orange,Forest Hills,Roxbury Crossing,898,1512077851
1512077925,Orange,Forest Hills,Jackson Square,1012,1512077851
1512077925,Orange,Forest Hills,Stony Brook,1120,1512077851
1512077925,Orange,Oak Grove,Roxbury Crossing,49,1512077858
1512077925,Orange,Oak Grove,Ruggles,178,1512077858
1512077925,Orange,Oak Grove,Mass Ave,281,1512077858
1512077925,Orange,Oak Grove,Back Bay,414,1512077858
1512077925,Orange,Oak Grove,Tufts Medical,560,1512077858
1512077925,Orange,Oak Grove,Chinatown,658,1512077858
1512077925,Orange,Oak Grove,Downtown Crossing,754,1512077858
1512077925,Orange,Oak Grove,State Street,879,1512077858
1512077925,Orange,Oak Grove,Haymarket,981,1512077858
1512077925,Orange,Oak Grove,North Station,1080,1512077858
1512077925,Orange,Forest Hills,Oak Grove,674,
1512077925,Orange,Forest Hills,Malden Center,743,
1512077925,Orange,Forest Hills,Wellington,983,
1512077925,Orange,Forest Hills,Assembly,1152,
1512077925,Orange,Forest Hills,Mass Ave,15,1512077858
1512077925,Orange,Forest Hills,Ruggles,123,1512077858
1512077925,Orange,Forest Hills,Roxbury Crossing,299,1512077858
1512077925,Orange,Forest Hills,Jackson Square,413,1512077858
1512077925,Orange,Forest Hills,Stony Brook,521,1512077858
1512077925,Orange,Forest Hills,Green Street,622,1512077858
1512077925,Orange,Forest Hills,Forest Hills,782,1512077858
1512077925,Orange,Forest Hills,Oak Grove,1034,
1512077925,Orange,Forest Hills,Malden Center,1103,
1512077925,Orange,Oak Grove,State Street,38,1512077839
1512077925,Orange,Oak Grove,Haymarket,140,1512077839
1512077925,Orange,Oak Grove,North Station,239,1512077839
1512077925,Orange,Oak Grove,Community College,395,1512077839
1512077925,Orange,Oak Grove,Sullivan,540,1512077839
1512077925,Orange,Oak Grove,Assembly,665,1512077839
1512077925,Orange,Oak Grove,Wellington,865,1512077839
1512077925,Orange,Oak Grove,Malden Center,1137,1512077839
1512077925,Orange,Forest Hills,Wellington,-23,1512077780
1512077925,Orange,Forest Hills,Assembly,145,1512077780
1512077925,Orange,Forest Hills,Sullivan,263,1512077780
1512077925,Orange,Forest Hills,Community College,405,1512077780
1512077925,Orange,Forest Hills,North Station,574,1512077780
1512077925,Orange,Forest Hills,Haymarket,671,1512077780
1512077925,Orange,Forest Hills,State Street,766,1512077780
1512077925,Orange,Forest Hills,Downtown Crossing,859,1512077780
1512077925,Orange,Forest Hills,Chinatown,967,1512077780
1512077925,Orange,Forest Hills,Tufts Medical,1045,1512077780
1512077925,Orange,Forest Hills,Back Bay,1173,1512077780
1512077925,Orange,Oak Grove,Malden Center,-11,1512077846
1512077925,Orange,Oak Grove,Oak Grove,165,1512077846
1512077925,Orange,Forest Hills,Oak Grove,204,
1512077925,Orange,Forest Hills,Malden Center,273,
1512077925,Orange,Forest Hills,Wellington,513,
1512077925,Orange,Forest Hills,Assembly,682,
1512077925,Orange,Forest Hills,Sullivan,802,
1512077925,Orange,Forest Hills,Community College,944,
1512077925,Orange,Forest Hills,North Station,1113,
1512077925,Orange,Oak Grove,Oak Grove,7,1512077855
1512077925,Orange,Oak Grove,Sullivan,-12,1512077847
1512077925,Orange,Oak Grove,Assembly,112,1512077847
1512077925,Orange,Oak Grove,Wellington,312,1512077847
1512077925,Orange,Oak Grove,Malden Center,583,1512077847
1512077925,Orange,Oak Grove,Oak Grove,760,1512077847
