Year,Took in July,First time taking,Passing Rate (%)
2017,Yes,Yes,81
2017,Yes,No,31
2017,No,Yes,61
2017,No,No,39
2016,Yes,Yes,71
2016,Yes,No,26
2016,No,Yes,62
2016,No,No,38
2015,Yes,Yes,72
2015,Yes,No,24
2015,No,Yes,62
2015,No,No,40
2014,Yes,Yes,75
2014,Yes,No,23
2014,No,Yes,71
2014,No,No,44
2013,Yes,Yes,79
2013,Yes,No,29
2013,No,Yes,71
2013,No,No,44
2012,Yes,Yes,79
2012,Yes,No,29
2012,No,Yes,69
2012,No,No,39
2011,Yes,Yes,81
2011,Yes,No,27
2011,No,Yes,75
2011,No,No,45
2010,Yes,Yes,80
2010,Yes,No,30
2010,No,Yes,71
2010,No,No,39
2009,Yes,Yes,82
2009,Yes,No,31
2009,No,Yes,68
2009,No,No,34
2008,Yes,Yes,84
2008,Yes,No,34
2008,No,Yes,73
2008,No,No,42
2007,Yes,Yes,81
2007,Yes,No,29
2007,No,Yes,71
2007,No,No,38
2006,Yes,Yes,80
2006,Yes,No,27
2006,No,Yes,71
2006,No,No,43
2005,Yes,Yes,77
2005,Yes,No,22
2005,No,Yes,72
2005,No,No,43
2004,Yes,Yes,77
2004,Yes,No,29
2004,No,Yes,69
2004,No,No,40
2003,Yes,Yes,77
2003,Yes,No,32
2003,No,Yes,68
2003,No,No,40
2002,Yes,Yes,76
2002,Yes,No,30
2002,No,Yes,67
2002,No,No,36
2001,Yes,Yes,79
2001,Yes,No,37
2001,No,Yes,69
2001,No,No,40
2000,Yes,Yes,77
2000,Yes,No,38
2000,No,Yes,69
2000,No,No,43
1999,Yes,Yes,76
1999,Yes,No,32
1999,No,Yes,71
1999,No,No,46
1998,Yes,Yes,77
1998,Yes,No,31
1998,No,Yes,72
1998,No,No,42
1997,Yes,Yes,80
1997,Yes,No,34
1997,No,Yes,76
1997,No,No,49
1996,Yes,Yes,79
1996,Yes,No,32
1996,No,Yes,76
1996,No,No,46
1995,Yes,Yes,78
1995,Yes,No,31
1995,No,Yes,77
1995,No,No,42
1994,Yes,Yes,84
1994,Yes,No,33
1994,No,Yes,78
1994,No,No,46
1993,Yes,Yes,82
1993,Yes,No,29
1993,No,Yes,78
1993,No,No,47
