business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
90604,Taqueria Los Amigos,5300 Mission St.,San Francisco,CA,94112,,,,,90604_20170502,5/2/17 0:00,,New Ownership,90604_20170502_103133,Foods not protected from contamination,Moderate Risk
1757,Dar Bar Pakistani/Indian Cusine,1412 Polk St,San Francisco,CA,94109,37.789784,-122.420455,"(37.789784, -122.420455)",,1757_20170928,9/28/17 0:00,86,Routine - Unscheduled,1757_20170928_103131,Moderate risk vermin infestation,Moderate Risk
4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718,4864_20161206,12/6/16 0:00,84,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk
79782,Deli 23,2449 23rd St,San Francisco,CA,94110,,,,,79782_20160503,5/3/16 0:00,92,Routine - Unscheduled,79782_20160503_103120,Moderate risk food holding temperature,Moderate Risk
76437,Sweetheart Cafe,909 Grant Ave,San Francisco,CA,94108,,,,,76437_20160329,3/29/16 0:00,76,Routine - Unscheduled,76437_20160329_103113,Sewage or wastewater contamination,High Risk
83325,Five Star Truffles,4251 A 18th St,San Francisco,CA,94114,,,,14155555128,83325_20150529,5/29/15 0:00,,New Ownership,83325_20150529_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
38929,Jelly Donut,3198 24th St,San Francisco,CA,94110,37.752439,-122.41625,"(37.752439, -122.41625)",,38929_20160114,1/14/16 0:00,88,Routine - Unscheduled,38929_20160114_103139,Improper food storage,Low Risk
81161,Limon Peruvian Rotisserie,1001 South Van Ness Ave,San Francisco,CA,94110,,,,14155548833,81161_20160325,3/25/16 0:00,92,Routine - Unscheduled,81161_20160325_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
85781,Domino's #7764,876 Geary St,San Francisco,CA,94109,,,,,85781_20160311,3/11/16 0:00,86,Routine - Unscheduled,85781_20160311_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
82880,Don Pablo,Off The Grid,San Francisco,CA,,,,,,82880_20160309,3/9/16 0:00,,Structural Inspection,82880_20160309_103148,No thermometers or uncalibrated thermometers,Low Risk
