,,,,,,,,,,,Batting Stats,,,,,,,,,,,,,Pitching Stats,,,,,,,,,,,,,
Rk,Name,YoB,% of Ballots,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,Pos Summary
1,Trevor Hoffman,3rd,74.00%,159,19,18,28.4,19.6,24,34.4,1007,34,1,4,0,5,0,0,0.118,0.118,0.176,0.294,-22,61,75,2.87,141,1.058,1035,0,601,1089.1,846,100,307,1133,*1
2,Vladimir Guerrero,2nd,71.70%,209,59,16,59.3,41.1,50.2,58.1,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140,,,,,,,,,,,,,,*9*D/87
3,Edgar Martinez,9th,58.60%,132,50,18,68.3,43.6,56,55.2,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3
4,Roger Clemens,6th,54.10%,332,73,24,140.3,66.3,103.3,62.1,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
5,Barry Bonds,6th,53.80%,340,77,22,162.4,72.7,117.6,53.3,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78D/9
6,Mike Mussina,5th,51.80%,121,54,18,83,44.5,63.8,62.1,22,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1
7,Curt Schilling,6th,45.00%,171,46,20,79.9,49,64.5,62.1,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1
8,Manny Ramirez,2nd,23.80%,226,69,19,69.2,39.9,54.6,53.3,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154,,,,,,,,,,,,,,*7*9*D
9,Larry Walker,8th,21.90%,148,58,17,72.6,44.6,58.6,58.1,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45
10,Fred McGriff,9th,21.70%,100,48,19,52.4,35.8,44.1,54.6,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D
11,Jeff Kent,5th,16.70%,123,51,17,55.2,35.6,45.4,56.9,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453/D6
12,Gary Sheffield,4th,13.30%,158,61,22,60.3,37.9,49.1,58.1,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,,,,,,,,,,,,,,*9*7*5*D6/3
13,Billy Wagner,3rd,10.20%,107,24,16,28.1,19.9,24,34.4,810,20,1,2,0,1,0,1,0.1,0.143,0.1,0.243,-35,47,40,2.31,187,0.998,853,0,422,903,601,82,300,1196,*1
