Rk,Name,WAR,WAR7,JAWS
1,Trevor Hoffman,28.4,19.6,24
2,Vladimir Guerrero,59.3,41.1,50.2
3,Roger Clemens,140.3,66.3,103.3
4,Barry Bonds,162.4,72.7,117.6
5,Mike Mussina,83,44.5,63.8
6,Curt Schilling,79.9,49,64.5
7,Manny Ramirez,69.2,39.9,54.6
8,Jeff Kent,55.2,35.6,45.4
9,Gary Sheffield,60.3,37.9,49.1
10,Billy Wagner,28.1,19.9,24
11,Sammy Sosa,58.4,43.7,51
12,Alex Rodriguez,117.7,64.2,91
13,Chipper Jones,85,46.6,65.8
14,Mariano Rivera,57.1,28.9,43
15,Jim Thome,72.9,41.5,57.2
16,Derek Jeter,71.8,42.2,57
17,Scott Rolen,70,43.5,56.8
18,Roy Halladay,64.7,50.6,57.6
19,Andruw Jones,62.8,46.4,54.6
20,Todd Helton,61.2,46.4,53.8
21,Bobby Abreu,59.9,41.5,50.7
22,Tim Hudson,58.7,38.4,48.5
23,Johan Santana,51.4,44.8,48.1
24,Andy Pettitte,60.8,34.1,47.5
25,Mark Buehrle,58.5,35.8,47.1
26,Jason Giambi,50.5,42.1,46.3
27,Lance Berkman,51.7,38.9,45.3
28,David Ortiz,55.4,35,45.2
29,Roy Oswalt,50.2,40.1,45.1
30,David Wright,49.9,40,45
31,Mark Teixeira,51.8,37.9,44.9
32,Johnny Damon,56,32.9,44.4
33,Cliff Lee,44.3,40.7,42.5
34,Carlos Zambrano,44.6,39,41.8
35,Jamie Moyer,50.4,33.2,41.8
36,Miguel Tejada,46.9,36.5,41.7
37,Torii Hunter,50,31.2,40.6
38,Jimmy Rollins,46,32.4,39.2
39,Placido Polanco,41.3,32.2,36.8
40,Omar Vizquel,45.3,26.7,36
41,Carl Crawford,38.9,32.2,35.6
42,Jake Peavy,40.1,30.9,35.5
43,Rafael Furcal,39.1,30.6,34.8
44,Dan Haren,35.3,33.9,34.6
45,Eric Chavez,37.4,31,34.2
46,Josh Beckett,35.9,31.3,33.6
47,Chris Carpenter,34.5,29.6,32.1
48,Freddy Garcia,35.7,28.3,32
49,Kevin Youkilis,32.7,31.2,31.9
50,Barry Zito,32.6,30.6,31.6
51,Derek Lowe,34.5,28.4,31.4
52,Aramis Ramirez,32.2,29.3,30.7
53,Shane Victorino,31.2,28.5,29.8
54,Livan Hernandez,31.1,27.8,29.4
55,Brian Roberts,30.3,28,29.2
56,Orlando Hudson,30.9,27.2,29.1
57,Alex Rios,27.6,28.1,27.8
58,Grady Sizemore,27.2,28.2,27.7
59,Vernon Wells,28.7,26.2,27.4
60,Alfonso Soriano,27.4,27,27.2
61,Kevin Millwood,29.4,24.8,27.1
62,Coco Crisp,29.1,24.3,26.7
63,Kerry Wood,27.7,25,26.4
64,Justin Morneau,27.3,24.7,26
65,Ted Lilly,27,24.8,25.9
66,Carlos Lee,28.2,23.4,25.8
67,A.J. Burnett,29.2,21.5,25.3
