Year,LocationAbbr,LocationDesc,GeographicLevel,Stroke Mortality,Gender,Ethnicity
2013,AK,Bethel,x,92.6,Male,y
2013,AK,Bristol Bay,x,,Male,y
2013,AK,Denali,x,79.9,Male,y
2013,AK,Dillingham,x,,Male,y
2013,AK,Fairbanks North Star,x,83.6,Male,y
2013,AK,Haines,x,,Male,y
2013,AK,Juneau,x,,Male,y
2013,AK,Kenai Peninsula,x,77.7,Male,y
2013,AK,Ketchikan Gateway,x,,Male,y
2013,AK,Kodiak Island,x,69.3,Male,y
2013,AK,Lake and Peninsula,x,85.3,Male,y
2013,AK,Matanuska-Susitna,x,77.4,Male,y
2013,AK,Nome,x,,Male,y
2013,AK,North Slope,x,,Male,y
2013,AK,Northwest Arctic,x,,Male,y
2013,AK,Prince of Wales-Outer Ketchikan,x,,Male,y
2013,AK,Sitka,x,,Male,y
2013,AK,Skagway-Hoonah-Angoon,x,,Male,y
2013,AK,Southeast Fairbanks,x,100.4,Male,y
2013,AK,Valdez-Cordova,x,73.4,Male,y
2013,AK,Wade Hampton,x,205.1,Male,y
2013,AK,Wrangell-Petersburg,x,,Male,y
2013,AK,Yakutat,x,,Male,y
2013,AK,Yukon-Koyukuk,x,68,Male,y
2013,AK,Aleutians East,x,,Female,y
2013,AK,Aleutians West,x,,Female,y
2013,AK,Anchorage,x,65.2,Female,y
2013,AK,Bethel,x,86.3,Female,y
2013,AK,Bristol Bay,x,,Female,y
2013,AK,Denali,x,67.3,Female,y
2013,AK,Dillingham,x,,Female,y
2013,AK,Fairbanks North Star,x,70.7,Female,y
2013,AK,Haines,x,,Female,y
2013,AK,Juneau,x,,Female,y
2013,AK,Kenai Peninsula,x,65.7,Female,y
2013,AK,Ketchikan Gateway,x,,Female,y
2013,AK,Kodiak Island,x,62.9,Female,y
2013,AK,Lake and Peninsula,x,68.7,Female,y
2013,AK,Matanuska-Susitna,x,66.6,Female,y
2013,AK,Nome,x,122.8,Female,y
2013,AK,North Slope,x,,Female,y
2013,AK,Northwest Arctic,x,,Female,y
2013,AK,Prince of Wales-Outer Ketchikan,x,,Female,y
2013,AK,Sitka,x,,Female,y
2013,AK,Skagway-Hoonah-Angoon,x,,Female,y
2013,AK,Southeast Fairbanks,x,69.4,Female,y
2013,AK,Valdez-Cordova,x,64.9,Female,y
2013,AK,Wade Hampton,x,125.1,Female,y
2013,AK,Wrangell-Petersburg,x,,Female,y
2013,AK,Yakutat,x,,Female,y
2013,AK,Yukon-Koyukuk,x,80.5,Female,y
2013,AK,Aleutians East,x,,y,White
2013,AK,Aleutians West,x,,y,White
2013,AK,Anchorage,x,69.1,y,White
2013,AK,Bethel,x,70.9,y,White
2013,AK,Bristol Bay,x,,y,White
2013,AK,Denali,x,81.7,y,White
2013,AK,Dillingham,x,,y,White
2013,AK,Fairbanks North Star,x,83.7,y,White
2013,AK,Haines,x,65.2,y,White
2013,AK,Juneau,x,65.5,y,White
2013,AK,Kenai Peninsula,x,69.6,y,White
2013,AK,Ketchikan Gateway,x,,y,White
2013,AK,Kodiak Island,x,45.3,y,White
2013,AK,Lake and Peninsula,x,59.3,y,White
2013,AK,Matanuska-Susitna,x,69.6,y,White
2013,AK,Nome,x,,y,White
2013,AK,North Slope,x,,y,White
2013,AK,Northwest Arctic,x,,y,White
2013,AK,Prince of Wales-Outer Ketchikan,x,,y,White
2013,AK,Sitka,x,,y,White
2013,AK,Skagway-Hoonah-Angoon,x,,y,White
2013,AK,Southeast Fairbanks,x,77.3,y,White
2013,AK,Valdez-Cordova,x,69.9,y,White
2013,AK,Wade Hampton,x,,y,White
2013,AK,Wrangell-Petersburg,x,,y,White
2013,AK,Yakutat,x,,y,White
2013,AK,Yukon-Koyukuk,x,75.3,y,White
2013,AK,Aleutians East,x,,Male,White
2013,AK,Aleutians West,x,,Male,White
2013,AK,Anchorage,x,76.9,Male,White
2013,AK,Bethel,x,76.9,Male,White
2013,AK,Bristol Bay,x,,Male,White
2013,AK,Denali,x,78.1,Male,White
2013,AK,Dillingham,x,,Male,White
2013,AK,Fairbanks North Star,x,89.8,Male,White
2013,AK,Haines,x,,Male,White
2013,AK,Juneau,x,,Male,White
2013,AK,Kenai Peninsula,x,74.7,Male,White
2013,AK,Ketchikan Gateway,x,,Male,White
2013,AK,Kodiak Island,x,64.2,Male,White
2013,AK,Lake and Peninsula,x,64.6,Male,White
2013,AK,Matanuska-Susitna,x,81.2,Male,White
2013,AK,Nome,x,,Male,White
2013,AK,North Slope,x,,Male,White
2013,AK,Northwest Arctic,x,,Male,White
2013,AK,Prince of Wales-Outer Ketchikan,x,,Male,White
2013,AK,Sitka,x,,Male,White
2013,AK,Skagway-Hoonah-Angoon,x,,Male,White
2013,AK,Southeast Fairbanks,x,135.5,Male,White
2013,AK,Valdez-Cordova,x,71.5,Male,White
2013,AK,Wade Hampton,x,,Male,White
2013,AK,Wrangell-Petersburg,x,,Male,White
2013,AK,Yakutat,x,,Male,White
2013,AK,Yukon-Koyukuk,x,73.1,Male,White
2013,AK,Aleutians East,x,,Female,White
2013,AK,Aleutians West,x,,Female,White
2013,AK,Anchorage,x,61.9,Female,White
2013,AK,Bethel,x,62.2,Female,White
2013,AK,Bristol Bay,x,,Female,White
2013,AK,Denali,x,68.6,Female,White
2013,AK,Dillingham,x,,Female,White
2013,AK,Fairbanks North Star,x,72.4,Female,White
2013,AK,Haines,x,,Female,White
2013,AK,Juneau,x,,Female,White
2013,AK,Kenai Peninsula,x,60.2,Female,White
2013,AK,Ketchikan Gateway,x,,Female,White
2013,AK,Kodiak Island,x,56.4,Female,White
2013,AK,Lake and Peninsula,x,57.1,Female,White
2013,AK,Matanuska-Susitna,x,61.3,Female,White
2013,AK,Nome,x,,Female,White
2013,AK,North Slope,x,,Female,White
2013,AK,Northwest Arctic,x,,Female,White
2013,AK,Prince of Wales-Outer Ketchikan,x,,Female,White
2013,AK,Sitka,x,,Female,White
2013,AK,Skagway-Hoonah-Angoon,x,,Female,White
2013,AK,Southeast Fairbanks,x,65.4,Female,White
2013,AK,Valdez-Cordova,x,61.6,Female,White
2013,AK,Wade Hampton,x,,Female,White
2013,AK,Wrangell-Petersburg,x,,Female,White
2013,AK,Yakutat,x,,Female,White
2013,AK,Yukon-Koyukuk,x,67.4,Female,White
2013,AK,Aleutians East,x,,y,Black
2013,AK,Aleutians West,x,,y,Black
2013,AK,Anchorage,x,,y,Black
2013,AK,Bethel,x,,y,Black
2013,AK,Bristol Bay,x,,y,Black
2013,AK,Denali,x,,y,Black
2013,AK,Dillingham,x,,y,Black
2013,AK,Fairbanks North Star,x,,y,Black
2013,AK,Haines,x,,y,Black
2013,AK,Juneau,x,,y,Black
2013,AK,Kenai Peninsula,x,,y,Black
2013,AK,Ketchikan Gateway,x,,y,Black
2013,AK,Kodiak Island,x,,y,Black
2013,AK,Lake and Peninsula,x,,y,Black
2013,AK,Matanuska-Susitna,x,,y,Black
2013,AK,Nome,x,,y,Black
2013,AK,North Slope,x,,y,Black
2013,AK,Northwest Arctic,x,,y,Black
2013,AK,Prince of Wales-Outer Ketchikan,x,,y,Black
2013,AK,Sitka,x,,y,Black
2013,AK,Skagway-Hoonah-Angoon,x,,y,Black
2013,AK,Southeast Fairbanks,x,,y,Black
2013,AK,Valdez-Cordova,x,,y,Black
2013,AK,Wade Hampton,x,,y,Black
2013,AK,Wrangell-Petersburg,x,,y,Black
2013,AK,Yakutat,x,,y,Black
2013,AK,Yukon-Koyukuk,x,,y,Black
2013,AK,Aleutians East,x,,Male,Black
2013,AK,Aleutians West,x,,Male,Black
2013,AK,Anchorage,x,,Male,Black
2013,AK,Bethel,x,,Male,Black
2013,AK,Bristol Bay,x,,Male,Black
2013,AK,Denali,x,,Male,Black
2013,AK,Dillingham,x,,Male,Black
2013,AK,Fairbanks North Star,x,,Male,Black
2013,AK,Haines,x,,Male,Black
2013,AK,Juneau,x,,Male,Black
2013,AK,Kenai Peninsula,x,,Male,Black
2013,AK,Ketchikan Gateway,x,,Male,Black
2013,AK,Kodiak Island,x,,Male,Black
2013,AK,Lake and Peninsula,x,,Male,Black
2013,AK,Matanuska-Susitna,x,,Male,Black
2013,AK,Nome,x,,Male,Black
2013,AK,North Slope,x,,Male,Black
2013,AK,Northwest Arctic,x,,Male,Black
2013,AK,Prince of Wales-Outer Ketchikan,x,,Male,Black
2013,AK,Sitka,x,,Male,Black
2013,AK,Skagway-Hoonah-Angoon,x,,Male,Black
2013,AK,Southeast Fairbanks,x,,Male,Black
2013,AK,Valdez-Cordova,x,,Male,Black
2013,AK,Wade Hampton,x,,Male,Black
2013,AK,Wrangell-Petersburg,x,,Male,Black
2013,AK,Yakutat,x,,Male,Black
2013,AK,Yukon-Koyukuk,x,,Male,Black
2013,AK,Aleutians East,x,,Female,Black
2013,AK,Aleutians West,x,,Female,Black
2013,AK,Anchorage,x,,Female,Black
2013,AK,Bethel,x,,Female,Black
2013,AK,Bristol Bay,x,,Female,Black
2013,AK,Denali,x,,Female,Black
2013,AK,Dillingham,x,,Female,Black
2013,AK,Fairbanks North Star,x,,Female,Black
2013,AK,Haines,x,,Female,Black
2013,AK,Juneau,x,,Female,Black
2013,AK,Kenai Peninsula,x,,Female,Black
2013,AK,Ketchikan Gateway,x,,Female,Black
2013,AK,Kodiak Island,x,,Female,Black
2013,AK,Lake and Peninsula,x,,Female,Black
2013,AK,Matanuska-Susitna,x,,Female,Black
2013,AK,Nome,x,,Female,Black
2013,AK,North Slope,x,,Female,Black
2013,AK,Northwest Arctic,x,,Female,Black
2013,AK,Prince of Wales-Outer Ketchikan,x,,Female,Black
2013,AK,Sitka,x,,Female,Black
2013,AK,Skagway-Hoonah-Angoon,x,,Female,Black
2013,AK,Southeast Fairbanks,x,,Female,Black
2013,AK,Valdez-Cordova,x,,Female,Black
2013,AK,Wade Hampton,x,,Female,Black
2013,AK,Wrangell-Petersburg,x,,Female,Black
2013,AK,Yakutat,x,,Female,Black
2013,AK,Yukon-Koyukuk,x,,Female,Black
2013,AK,Aleutians East,x,,y,Hispanic
2013,AK,Aleutians West,x,,y,Hispanic
2013,AK,Anchorage,x,,y,Hispanic
2013,AK,Bethel,x,,y,Hispanic
2013,AK,Bristol Bay,x,,y,Hispanic
2013,AK,Denali,x,,y,Hispanic
2013,AK,Dillingham,x,,y,Hispanic
2013,AK,Fairbanks North Star,x,,y,Hispanic
2013,AK,Haines,x,,y,Hispanic
2013,AK,Juneau,x,,y,Hispanic
2013,AK,Kenai Peninsula,x,,y,Hispanic
2013,AK,Ketchikan Gateway,x,,y,Hispanic
2013,AK,Kodiak Island,x,,y,Hispanic
2013,AK,Lake and Peninsula,x,,y,Hispanic
2013,AK,Matanuska-Susitna,x,,y,Hispanic
2013,AK,Nome,x,,y,Hispanic
2013,AK,North Slope,x,,y,Hispanic
2013,AK,Northwest Arctic,x,,y,Hispanic
2013,AK,Prince of Wales-Outer Ketchikan,x,,y,Hispanic
2013,AK,Sitka,x,,y,Hispanic
2013,AK,Skagway-Hoonah-Angoon,x,,y,Hispanic
2013,AK,Southeast Fairbanks,x,,y,Hispanic
2013,AK,Valdez-Cordova,x,,y,Hispanic
2013,AK,Wade Hampton,x,,y,Hispanic
2013,AK,Wrangell-Petersburg,x,,y,Hispanic
2013,AK,Yakutat,x,,y,Hispanic
2013,AK,Yukon-Koyukuk,x,,y,Hispanic
2013,AK,Aleutians East,x,,Male,Hispanic
2013,AK,Aleutians West,x,,Male,Hispanic
2013,AK,Anchorage,x,,Male,Hispanic
2013,AK,Bethel,x,,Male,Hispanic
2013,AK,Bristol Bay,x,,Male,Hispanic
2013,AK,Denali,x,,Male,Hispanic
2013,AK,Dillingham,x,,Male,Hispanic
2013,AK,Fairbanks North Star,x,,Male,Hispanic
2013,AK,Haines,x,,Male,Hispanic
2013,AK,Juneau,x,,Male,Hispanic
2013,AK,Kenai Peninsula,x,,Male,Hispanic
2013,AK,Ketchikan Gateway,x,,Male,Hispanic
2013,AK,Kodiak Island,x,,Male,Hispanic
2013,AK,Lake and Peninsula,x,,Male,Hispanic
2013,AK,Matanuska-Susitna,x,,Male,Hispanic
2013,AK,Nome,x,,Male,Hispanic
2013,AK,North Slope,x,,Male,Hispanic
2013,AK,Northwest Arctic,x,,Male,Hispanic
2013,AK,Prince of Wales-Outer Ketchikan,x,,Male,Hispanic
2013,AK,Sitka,x,,Male,Hispanic
2013,AK,Skagway-Hoonah-Angoon,x,,Male,Hispanic
2013,AK,Southeast Fairbanks,x,,Male,Hispanic
2013,AK,Valdez-Cordova,x,,Male,Hispanic
2013,AK,Wade Hampton,x,,Male,Hispanic
2013,AK,Wrangell-Petersburg,x,,Male,Hispanic
2013,AK,Yakutat,x,,Male,Hispanic
2013,AK,Yukon-Koyukuk,x,,Male,Hispanic
2013,AK,Alaska,State,70.3,y,White
2013,AK,Aleutians East,x,,Female,Hispanic
2013,AK,Aleutians West,x,,Female,Hispanic
2013,AK,Anchorage,x,,Female,Hispanic
2013,AK,Bethel,x,,Female,Hispanic
2013,AK,Bristol Bay,x,,Female,Hispanic
2013,AK,Denali,x,,Female,Hispanic
2013,AK,Dillingham,x,,Female,Hispanic
2013,AK,Fairbanks North Star,x,,Female,Hispanic
2013,AK,Haines,x,,Female,Hispanic
2013,AK,Juneau,x,,Female,Hispanic
2013,AK,Kenai Peninsula,x,,Female,Hispanic
2013,AK,Ketchikan Gateway,x,,Female,Hispanic
2013,AK,Kodiak Island,x,,Female,Hispanic
2013,AK,Lake and Peninsula,x,,Female,Hispanic
2013,AK,Matanuska-Susitna,x,,Female,Hispanic
2013,AK,Nome,x,,Female,Hispanic
2013,AK,North Slope,x,,Female,Hispanic
2013,AK,Northwest Arctic,x,,Female,Hispanic
2013,AK,Prince of Wales-Outer Ketchikan,x,,Female,Hispanic
2013,AK,Sitka,x,,Female,Hispanic
