Academic Year,TAP College Code,Federal School Code,TAP College Name,TAP Sector Group,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2016,880,2836,SUNY BINGHAMTON,3-SUNY SO,1444,1402.5,"$4,172,417.72 "
2016,1010,2837,SUNY BUFFALO,3-SUNY SO,1411,1278.67,"$2,930,122.40 "
2016,875,2838,SUNY STONY BROOK,3-SUNY SO,1139,1047,"$2,278,194.14 "
2016,650,2806,ROCHESTER INSTITUTE OF TECHLGY,5-INDEPENDENT,644,566.5,"$489,511.51 "
2016,920,2845,SUC GENESEO,3-SUNY SO,625,597,"$1,304,258.39 "
2016,1411,2688,CUNY CITY COLLEGE,1-CUNY SR,593,536.21,"$721,432.49 "
2016,1413,2689,CUNY HUNTER COLLEGE,1-CUNY SR,591,516.75,"$470,429.88 "
2016,175,2711,CORNELL UNIVERSITY,5-INDEPENDENT,514,494.5,"$484,295.00 "
2016,555,2785,NEW YORK UNIVERSITY,5-INDEPENDENT,472,447.71,"$643,302.49 "
2016,174,2711,CORNELL UNIV STATUTORY COLLEGES,3-SUNY SO,453,435.5,"$704,192.50 "
2016,985,2882,SYRACUSE UNIVERSITY (UNDERGRAD),5-INDEPENDENT,434,418.5,"$925,565.25 "
2016,751,2823,ST JOHNS UNIVERSITY,5-INDEPENDENT,403,395.75,"$785,942.25 "
2016,1015,2894,UNIVERSITY OF ROCHESTER,5-INDEPENDENT,402,395.5,"$366,659.50 "
2016,245,2722,FORDHAM UNIVERSITY,5-INDEPENDENT,400,393.54,"$677,293.84 "
2016,895,2835,SUNY ALBANY (UNDERGRAD),3-SUNY SO,392,363.04,"$1,020,251.46 "
2016,120,2699,CLARKSON UNIVERSITY,5-INDEPENDENT,376,360.5,"$289,377.00 "
2016,1409,7273,CUNY BARUCH COLLEGE,1-CUNY SR,351,298.25,"$314,852.38 "
2016,635,2803,RENSSELAER POLYTECHNIC INST,5-INDEPENDENT,347,326,"$330,102.50 "
2016,1410,2687,CUNY BROOKLYN COLLEGE,1-CUNY SR,288,234.33,"$306,098.35 "
2016,1416,2690,CUNY QUEENS COLLEGE,1-CUNY SR,276,247.67,"$326,974.91 "
2016,525,2779,NAZARETH COLLEGE,5-INDEPENDENT,252,244.04,"$261,930.51 "
2016,935,2848,SUC OSWEGO (UNDERGRAD),3-SUNY SO,249,237.21,"$659,974.81 "
2016,925,2846,SUC NEW PALTZ,3-SUNY SO,244,228.17,"$648,727.47 "
2016,171,2707,COLUMBIA UNIV,5-INDEPENDENT,223,209.75,"$423,730.50 "
2016,900,2841,SUC BROCKPORT (UNDERGRAD),3-SUNY SO,199,179.04,"$378,625.55 "
2016,930,2847,SUC ONEONTA,3-SUNY SO,190,171.17,"$793,873.59 "
2016,950,2851,SUC ENV SCI&FORESTRY,3-SUNY SO,178,171.25,"$525,878.46 "
2016,330,2739,ITHACA COLLEGE,5-INDEPENDENT,175,168.5,"$245,494.00 "
2016,1412,7022,CUNY HERBERT H LEHMAN COLLEGE,1-CUNY SR,171,142.46,"$195,362.51 "
2016,1414,2693,CUNY JOHN JAY COLLEGE,1-CUNY SR,168,138,"$250,432.50 "
2016,375,2748,LEMOYNE COLLEGE,5-INDEPENDENT,162,157.5,"$156,546.99 "
2016,915,2844,SUC FREDONIA,3-SUNY SO,161,155.5,"$243,303.09 "
2016,10,2666,ADELPHI UNIVERSITY,5-INDEPENDENT,161,155,"$342,291.50 "
2016,300,2732,HOFSTRA UNIVERSITY,5-INDEPENDENT,157,147.71,"$507,306.98 "
2016,685,2816,SIENA COLLEGE,5-INDEPENDENT,154,150.5,"$206,649.00 "
2016,945,2850,SUC POTSDAM,3-SUNY SO,148,140.58,"$315,335.68 "
2016,1417,2698,CUNY COL STATEN ISLAND,1-CUNY SR,144,126.08,"$436,934.06 "
2016,905,2842,SUC BUFFALO,3-SUNY SO,138,121.67,"$276,422.87 "
2016,4975,11678,SUNY POLYTECHNIC INSTITUTE,3-SUNY SO,135,131,"$444,644.75 "
2016,910,2843,SUC CORTLAND (UNDERGRAD),3-SUNY SO,129,122,"$708,946.15 "
2016,1405,2696,CUNY NYC COLLEGE OF TECHNOLOGY,1-CUNY SR,128,101.17,"$164,468.09 "
2016,440,2765,MARIST COLLEGE,5-INDEPENDENT,127,119,"$768,155.00 "
2016,405,2758,MANHATTAN COLLEGE,5-INDEPENDENT,125,120.21,"$478,763.23 "
2016,125,2701,COLGATE UNIVERSITY,5-INDEPENDENT,124,122,"$161,905.00 "
2016,403,2751,LONG ISLAND UNIVERSITY,5-INDEPENDENT,123,110.83,"$435,942.18 "
2016,913,10286,SUC EMPIRE STATE COLLEGE,3-SUNY SO,121,81.29,"$499,870.41 "
2016,940,2849,SUNY PLATTSBURGH,3-SUNY SO,115,108,"$302,631.77 "
2016,735,2821,ST JOHN FISHER COLLEGE,5-INDEPENDENT,115,110,"$120,511.50 "
2016,90,2681,CANISIUS COLLEGE,5-INDEPENDENT,112,105.5,"$110,237.50 "
2016,775,2829,ST LAWRENCE UNIVERSITY,5-INDEPENDENT,109,106,"$102,525.00 "
2016,2157,2878,SUFFOLK COMMUNITY COLLEGE,4-SUNY CC,109,84.58,"$395,734.50 "
2016,995,2885,ALBANY COLLEGE OF PHARMACY,5-INDEPENDENT,104,102.5,"$93,835.00 "
2016,670,2808,DAEMEN COLLEGE,5-INDEPENDENT,100,92.38,"$85,880.63 "
2016,270,2728,HAMILTON COLLEGE,5-INDEPENDENT,98,96,"$89,125.00 "
2016,2180,2872,MONROE COMMUNITY COLLEGE,4-SUNY CC,95,69.13,"$132,281.35 "
2016,1030,2895,VASSAR COLLEGE,5-INDEPENDENT,95,92.5,"$83,395.00 "
2016,560,2788,NIAGARA UNIVERSITY,5-INDEPENDENT,94,92,"$113,905.00 "
2016,865,10142,TOURO COLLEGE,5-INDEPENDENT,93,83.75,"$101,267.77 "
2016,2120,2782,NEW YORK INST TECH 4YR,5-INDEPENDENT,91,84.25,"$185,148.75 "
2016,758,2825,ST JOSEPHS COLLEGE,5-INDEPENDENT,89,77.63,"$199,703.06 "
2016,590,2791,PACE UNIVERSITY,5-INDEPENDENT,88,83.54,"$280,649.34 "
2016,6005,2854,SUNY COLLEGE OF TECH AT ALFRED,3-SUNY SO,86,74.42,"$148,513.26 "
2016,1418,4759,CUNY YORK COLLEGE,1-CUNY SR,83,71.58,"$84,592.74 "
2016,990,2889,UNION COLLEGE,5-INDEPENDENT,82,79.67,"$61,830.61 "
