Academic Year,College Name,Sector Group,Headcount,Amount
2015,SUNY BUFFALO,3-SUNY SO,1254,"$2,135,027.72 "
2015,SUNY BINGHAMTON,3-SUNY SO,1226,"$3,026,812.78 "
2015,SUNY STONY BROOK,3-SUNY SO,1038,"$1,808,679.60 "
2015,ROCHESTER INSTITUTE OF TECHLGY,5-INDEPENDENT,647,"$525,392.13 "
2015,CUNY HUNTER COLLEGE,1-CUNY SR,616,"$507,087.43 "
2015,CUNY CITY COLLEGE,1-CUNY SR,603,"$723,988.40 "
2015,SUC GENESEO,3-SUNY SO,570,"$1,021,666.31 "
2015,NEW YORK UNIVERSITY,5-INDEPENDENT,528,"$773,976.00 "
2015,CORNELL UNIVERSITY,5-INDEPENDENT,470,"$422,158.60 "
2015,CORNELL UNIV STATUTORY COLLEGES,3-SUNY SO,446,"$601,122.00 "
2015,SYRACUSE UNIVERSITY (UNDERGRAD),5-INDEPENDENT,427,"$842,192.25 "
2015,UNIVERSITY OF ROCHESTER,5-INDEPENDENT,399,"$342,578.50 "
2015,ST JOHNS UNIVERSITY,5-INDEPENDENT,380,"$711,133.25 "
2015,SUNY ALBANY (UNDERGRAD),3-SUNY SO,360,"$880,507.15 "
2015,CLARKSON UNIVERSITY,5-INDEPENDENT,358,"$291,758.00 "
2015,CUNY BARUCH COLLEGE,1-CUNY SR,352,"$325,163.79 "
2015,FORDHAM UNIVERSITY,5-INDEPENDENT,332,"$607,285.55 "
2015,RENSSELAER POLYTECHNIC INST,5-INDEPENDENT,310,"$331,641.50 "
2015,CUNY BROOKLYN COLLEGE,1-CUNY SR,286,"$312,839.33 "
2015,CUNY QUEENS COLLEGE,1-CUNY SR,281,"$407,777.53 "
2015,COLUMBIA UNIV,5-INDEPENDENT,245,"$459,134.24 "
2015,SUC NEW PALTZ,3-SUNY SO,228,"$563,757.49 "
2015,SUC OSWEGO (UNDERGRAD),3-SUNY SO,218,"$559,410.17 "
2015,NAZARETH COLLEGE,5-INDEPENDENT,196,"$180,838.46 "
2015,SUC BROCKPORT (UNDERGRAD),3-SUNY SO,185,"$373,967.21 "
2015,ITHACA COLLEGE,5-INDEPENDENT,185,"$271,784.09 "
2015,SUC ONEONTA,3-SUNY SO,183,"$691,298.51 "
2015,SUC FREDONIA,3-SUNY SO,157,"$233,078.72 "
2015,CUNY JOHN JAY COLLEGE,1-CUNY SR,156,"$251,136.85 "
2015,SUC BUFFALO,3-SUNY SO,155,"$289,622.08 "
2015,HOFSTRA UNIVERSITY,5-INDEPENDENT,153,"$439,407.75 "
2015,CUNY HERBERT H LEHMAN COLLEGE,1-CUNY SR,149,"$176,498.65 "
2015,SUC EMPIRE STATE COLLEGE,3-SUNY SO,149,"$534,392.52 "
2015,CUNY COL STATEN ISLAND,1-CUNY SR,148,"$456,443.89 "
2015,SUC POTSDAM,3-SUNY SO,147,"$229,376.29 "
2015,LEMOYNE COLLEGE,5-INDEPENDENT,147,"$161,064.50 "
2015,SUC ENV SCI&FORESTRY,3-SUNY SO,144,"$366,040.76 "
2015,ADELPHI UNIVERSITY,5-INDEPENDENT,142,"$233,748.20 "
