patent_number,patent_title,patent_date,patent_num_claims,patent_num_combined_citations,inventor_last_name,inventor_first_name,assignee_organization
3986045,High speed logic level converter,1976-10-12,11,3,Lutz,Robert C.,"Advanced Micro Devices, Inc."
4042950,Platinum silicide fuse links for integrated circuit devices,1977-08-16,4,4,Price,William L.,"Advanced Micro Devices, Inc."
4079308,Resistor ratio circuit construction,1978-03-14,10,4,Brown,George W.,"Advanced Micro Devices, Inc."
4110842,Random access memory with memory status for improved access and cycle times,1978-08-29,11,9,Sarkissian,Vahe Andre,"Advanced Micro Devices, Inc."
4135295,Process of making platinum silicide fuse links for integrated circuit devices,1979-01-23,2,5,Price,William L.,"Advanced Micro Devices, Inc."
4215282,Temperature compensated sense amplifier for PROMs and the like,1980-07-29,9,4,Reynolds,Thomas L.,"Advanced Micro Devices, Inc."
4272811,Write and read control circuit for semiconductor memories,1981-06-09,10,2,Wong,Thomas S.,"Advanced Micro Devices, Inc."
4292625,Monolithic digital-to-analog converter,1981-09-29,14,7,Schoeff,John A.,"Advanced Micro Devices, Inc."
4315207,Current controlled battery feed circuit,1982-02-09,16,5,Apfel,Russell J.,"Advanced Micro Devices, Inc."
4331077,Printing element with shock absorber feature,1982-05-25,9,10,Sokolovsky,Paul J.,"Advanced Micro Devices, Inc."
4342045,Input protection device for integrated circuits,1982-07-27,12,8,Kim,Kyoung Il,"Advanced Micro Devices, Inc."
4359609,Circuit with feedback for controlling the impedance thereof,1982-11-16,38,2,Apfel,Russell J.,"Advanced Micro Devices, Inc."
4393457,Method and apparatus for sequencing addresses of a fast Fourier transform array,1983-07-12,13,6,New,Bernard J.,"Advanced Micro Devices, Inc."
4393468,Bit slice microprogrammable processor for signal processing applications,1983-07-12,11,6,New,Bernard J.,"Advanced Micro Devices, Inc."
4401901,Comparator,1983-08-30,8,2,Ochi,Sam,"Advanced Micro Devices, Inc."
4408134,Unitary exclusive or-and logic circuit,1983-10-04,19,5,Allen,Michael,"Advanced Micro Devices, Inc."
4412339,Zero-crossing interpolator to reduce isochronous distortion in a digital FSK modem,1983-10-25,8,3,Stauffer,Michael K.,"Advanced Micro Devices, Inc."
4413402,Method of manufacturing a buried contact in semiconductor device,1983-11-08,10,8,Erb,Darrell M.,"Advanced Micro Devices, Inc."
4414502,Current source circuit,1983-11-08,9,5,Wong,Thomas,"Advanced Micro Devices, Inc."
4421996,Sense amplification scheme for random access memory,1983-12-20,11,9,Keswick,Paul D.,"Advanced Micro Devices, Inc."
4437158,System bus protocol interface circuit,1984-03-13,5,10,Alfke,Peter H.,"Advanced Micro Devices, Inc."
4438346,Regulated substrate bias generator for random access memory,1984-03-20,17,5,Chuang,Patrick T.,"Advanced Micro Devices, Inc."
4438492,Interruptable microprogram controller for microcomputer systems,1984-03-20,10,7,"Harmon, Jr.",William J.,"Advanced Micro Devices, Inc."
4443753,Second order temperature compensated band cap voltage reference,1984-04-17,12,6,McGlinchey,Gerard F.,"Advanced Micro Devices, Inc."
4451326,Method for interconnecting metallic layers,1984-05-29,28,5,Gwozdz,Peter S.,"Advanced Micro Devices, Inc."
4456501,Process for dislocation-free slot isolations in device fabrication,1984-06-26,6,4,Thomas,Mammen,"Advanced Micro Devices, Inc."
4467444,Processor unit for microcomputer systems,1984-08-21,15,7,"Mick, Jr.",John,"Advanced Micro Devices, Inc."
4468285,Plasma etch process for single-crystal silicon with improved selectivity to silicon dioxide,1984-08-28,16,2,Bayman,Atiye,"Advanced Micro Devices, Inc."
4471472,Semiconductor memory utilizing an improved redundant circuitry configuration,1984-09-11,3,2,Young,Elvan S.,"Advanced Micro Devices, Inc."
4476560,Diagnostic circuit for digital systems,1984-10-09,18,6,Miller,Michael J.,"Advanced Micro Devices, Inc."
4481070,Double planarization process for multilayer metallization of integrated circuit structures,1984-11-06,16,3,Koyama,Linda J.,"Advanced Micro Devices, Inc."
4481705,Process for doping field isolation regions in CMOS integrated circuits,1984-11-13,17,4,Haskell,Jacob D.,"Advanced Micro Devices, Inc."
4487653,Process for forming and locating buried layers,1984-12-11,7,4,"Hatcher, Jr.",Owen W.,"Advanced Micro Devices, Inc."
4490670,Voltage generator,1984-12-25,3,3,Wong,Thomas,"Advanced Micro Devices, Inc."
4495025,Process for forming grooves having different depths using a single masking step,1985-01-22,19,1,Haskell,Jacob D.,"Advanced Micro Devices, Inc."
4501061,Fluorine plasma oxidation of residual sulfur species,1985-02-26,8,8,Wonnacott,Gerald,"Advanced Micro Devices, Inc."
4507159,Method of manufacturing high capacity semiconductor capacitance devices,1985-03-26,25,3,Erb,Darrell M.,"Advanced Micro Devices, Inc."
4514673,Stepper motor controller,1985-04-30,12,2,Sfarti,Adrian,"Advanced Micro Devices, Inc."
4516225,MOS Depletion load circuit,1985-05-07,3,6,Frederick,Bruce A.,"Advanced Micro Devices, Inc."
4516316,Method of making improved twin wells for CMOS devices by controlling spatial separation,1985-05-14,19,5,Haskell,Jacob D.,"Advanced Micro Devices, Inc."
4518678,Selective removal of coating material on a coated substrate,1985-05-21,12,1,Allen,Landon K.,"Advanced Micro Devices, Inc."
4518876,TTL-ECL Input translation with AND/NAND function,1985-05-21,17,7,Constantinescu,Ion,"Advanced Micro Devices, Inc."
4518981,Merged platinum silicide fuse and Schottky diode and method of manufacture thereof,1985-05-21,17,15,Schlupp,Ronald L.,"Advanced Micro Devices, Inc."
4521699,High-speed schottky TTL gate apparatus,1985-06-04,2,6,"Wilson, Jr.",Stanley,"Advanced Micro Devices, Inc."
4523182,PROM trimmed digital-to-analog converter,1985-06-11,14,3,Harvey,Barry A.,"Advanced Micro Devices, Inc."
4527079,Integrated circuit device accepting inputs and providing outputs at the levels of different logic families,1985-07-02,12,8,Thompson,Michael D.,"Advanced Micro Devices, Inc."
4528465,Semiconductor circuit alternately operative as a data latch and a logic gate,1985-07-09,8,9,Harvey,Barry A.,"Advanced Micro Devices, Inc."
4529685,Method for making integrated circuit devices using a layer of indium arsenide as an antireflective coating,1985-07-16,17,8,Borodovsky,Yan A.,"Advanced Micro Devices, Inc."
4533430,Process for forming slots having near vertical sidewalls at their upper extremities,1985-08-06,13,4,Bower,Robert W.,"Advanced Micro Devices, Inc."
4533842,Temperature compensated TTL to ECL translator,1985-08-06,12,13,Allen,Michael,"Advanced Micro Devices, Inc."
4534824,Process for forming isolation slots having immunity to surface inversion,1985-08-13,6,5,Chen,Pau-Ling,"Advanced Micro Devices, Inc."
4537059,Automatic brushing machine,1985-08-27,7,11,Sokolovsky,Paul J.,"Advanced Micro Devices, Inc."
4538075,High speed referenceless bipolar logic gate with minimum input current,1985-08-27,9,4,Varadarajan,Hemmige D.,"Advanced Micro Devices, Inc."
4539493,Dynamic ECL circuit adapted to drive loads having significant capacitance,1985-09-03,20,9,Varadarajan,Hemmige D.,"Advanced Micro Devices, Inc."
4541893,Process for fabricating pedestal interconnections between conductive layers in an integrated circuit,1985-09-17,15,2,Knight,Colin W.,"Advanced Micro Devices, Inc."
4542308,Sampling comparator circuit for processing a differential input,1985-09-17,11,3,Laurent,Thierry M.,"Advanced Micro Devices, Inc."
4542413,Facsimile device for run length coding,1985-09-17,16,5,Rallapalli,Krishna,"Advanced Micro Devices, Inc."
4542454,Apparatus for controlling access to a memory,1985-09-17,5,5,Madewell,Jimmy R.,"Advanced Micro Devices, Inc."
4547685,Sense amplifier circuit for semiconductor memories,1985-10-15,6,6,Wong,Thomas,"Advanced Micro Devices, Inc."
4547881,ECL Logic circuit with a circuit for dynamically switchable low drop current source,1985-10-15,16,9,Varadarajan,Hemmige D.,"Advanced Micro Devices, Inc."
4551638,ECL Gate with switched load current source,1985-11-05,10,6,Varadarajan,Hemmige D.,"Advanced Micro Devices, Inc."
4553083,Bandgap reference voltage generator with V.sub.CC compensation,1985-11-12,8,5,Yang,Tsen-Shau,"Advanced Micro Devices, Inc."
4554942,Process gas controller,1985-11-26,18,15,Williams,Todd E.,"Advanced Micro Devices, Inc."
4558371,Method and device for two-dimensional facsimile coding,1985-12-10,24,13,Kaku,Shinkyo,"Advanced Micro Devices, Inc."
4559458,Temperature tracking and supply voltage independent line driver for ECL circuits,1985-12-17,11,8,Ma,Bing-Fong,"Advanced Micro Devices, Inc."
4562484,Method and device for decoding two-dimensional facsimile signals,1985-12-31,13,13,Rallapalli,Krishna,"Advanced Micro Devices, Inc."
4563548,Method and circuit for telephone dialing signal generation,1986-01-07,29,1,Misherghi,Ayoub H.,"Advanced Micro Devices, Inc."
4565976,Interruptable voltage-controlled oscillator and phase-locked loop using same,1986-01-21,22,10,Campbell,David L.,"Advanced Micro Devices, Inc."
4569122,Method of forming a low resistance quasi-buried contact,1986-02-11,3,10,Chan,Hugo W.,"Advanced Micro Devices, Inc."
4577125,Output voltage driver with transient active pull-down,1986-03-18,12,5,Allen,Michael,"Advanced Micro Devices, Inc."
4577294,Redundant memory circuit and method of programming and verifying the circuit,1986-03-18,37,6,Brown,George W.,"Advanced Micro Devices, Inc."
4577296,Compensation current generator,1986-03-18,8,2,Wong,Thomas,"Advanced Micro Devices, Inc."
4577392,Fabrication technique for integrated circuits,1986-03-25,7,8,Peterson,David R.,"Advanced Micro Devices, Inc."
4579812,Process for forming slots of different types in self-aligned relationship using a latent image mask,1986-04-01,24,1,Bower,Robert W.,"Advanced Micro Devices, Inc."
4580332,"Forming a conductive, protective layer for multilayer metallization",1986-04-08,10,7,Borodovsky,Yan A.,"Advanced Micro Devices, Inc."
4581815,Integrated circuit structure having intermediate metal silicide layer and method of making same,1986-04-15,5,4,Cheung,Robin W.,"Advanced Micro Devices, Inc."
4590521,Picture element generator for facsimile receiver,1986-05-20,13,1,Kaku,Shinkyo,"Advanced Micro Devices, Inc."
4591737,Master-slave multivibrator with improved metastable response characteristic,1986-05-27,12,10,Campbell,David L.,"Advanced Micro Devices, Inc."
4594654,Circuit for controlling external bipolar buffers from an MOS peripheral device,1986-06-10,8,6,Dines,Steven,"Advanced Micro Devices, Inc."
4598387,Capacitive memory signal doubler cell,1986-07-01,10,2,Chuang,Patrick T.,"Advanced Micro Devices, Inc."
4604790,Method of fabricating integrated circuit structure having CMOS and bipolar devices,1986-08-12,9,7,Bonn,Matthew A.,"Advanced Micro Devices, Inc."
4605470,Method for interconnecting conducting layers of an integrated circuit device,1986-08-12,39,4,Gwozdz,Peter S.,"Advanced Micro Devices, Inc."
4605864,AFL (advanced fast logic) line driver circuit,1986-08-12,16,8,Vasseghi,Nader,"Advanced Micro Devices, Inc."
4606052,Method for detection of line activity for Manchester-encoded signals,1986-08-12,5,2,Levy,Roy J.,"Advanced Micro Devices, Inc."
4607175,Non-inverting high speed low level gate to Schottky transistor-transistor logic translator,1986-08-19,19,7,Lee,Gil S.,"Advanced Micro Devices, Inc."
4608503,Apparatus for driving first and second devices,1986-08-26,9,3,Chu,John W.,"Advanced Micro Devices, Inc."
4608543,Controllable effective resistance and phase lock loop with controllable filter,1986-08-26,16,4,Adams,Neil R.,"Advanced Micro Devices, Inc."
4608678,Semiconductor memory device for serial scan applications,1986-08-26,13,1,Threewitt,N. Bruce,"Advanced Micro Devices, Inc."
4608702,Method for digital clock recovery from Manchester-encoded signals,1986-08-26,3,2,Levy,Roy J.,"Advanced Micro Devices, Inc."
4609934,Semiconductor device having grooves of different depths for improved device isolation,1986-09-02,8,5,Haskell,Jacob D.,"Advanced Micro Devices, Inc."
4610004,Expandable four-port register file,1986-09-02,6,1,Po Loi Chu,Paul,"Advanced Micro Devices, Inc."
4611309,Non-volatile dynamic RAM cell,1986-09-09,40,2,Maltiel,Ron,"Advanced Micro Devices, Inc."
4612458,Merged PMOS/bipolar logic circuits,1986-09-16,10,9,Goddard,Donald G.,"Advanced Micro Devices, Inc."
4613774,Unitary multiplexer-decoder circuit,1986-09-23,19,4,Mazumder,Nikhil C.,"Advanced Micro Devices, Inc."
4615020,Nonvolatile dynamic ram circuit,1986-09-30,17,9,Chuang,Patrick T.,"Advanced Micro Devices, Inc."
4616404,Method of making improved lateral polysilicon diode by treating plasma etched sidewalls to remove defects,1986-10-14,19,8,Wang,Scott W.,"Advanced Micro Devices, Inc."
4616406,Process of making a semiconductor device having parallel leads directly connected perpendicular to integrated circuit layers therein,1986-10-14,12,6,Brown,Candice H.,"Advanced Micro Devices, Inc."
4618541,Method of forming a silicon nitride film transparent to ultraviolet radiation and resulting article,1986-10-21,22,0,Allen,Bert L.,"Advanced Micro Devices, Inc."
4618898,Method and apparatus for reading a disk,1986-10-21,10,4,Young,Mark S.,"Advanced Micro Devices, Inc."
4619837,Polymerizable planarization layer for integrated circuit structures,1986-10-28,15,6,Brown,Andrew V.,"Advanced Micro Devices, Inc."
4620115,Voltage-temperature compensated threshold for hysteresis line receiver at TTL supply voltage,1986-10-28,17,3,Subramaniam,A. Ram,"Advanced Micro Devices, Inc."
