patent_number,patent_title,patent_date,patent_num_claims,patent_num_combined_citations,inventor_last_name,inventor_first_name,assignee_organization
5983227,Dynamic page generator,1999-11-09,9,9,Patel,Ashvinkumar P.,Yahoo! Inc.
6216157,Dynamic page generator,1999-11-09,9,9,Nazem,Farzad,Yahoo! Inc.
6343302,Method and apparatus for a client-server system with heterogeneous clients,2001-04-10,13,29,Mendhekar,Anurag D.,Yahoo! Inc.
6446040,Method and apparatus for a client-server system with heterogeneous clients,2001-04-10,13,29,Vishwanath,Mohan,Yahoo! Inc.
6523069,Remote web site authoring system and method,2002-01-29,12,8,Graham,Paul Andrew,Yahoo! Inc.
6556563,Intelligent text-to-speech synthesis,2002-09-03,29,14,Vishwanath,Mohan,Yahoo! Inc.
6567419,Intelligent text-to-speech synthesis,2002-09-03,29,14,Mendhekar,Anurag D.,Yahoo! Inc.
6580786,Intelligent text-to-speech synthesis,2002-09-03,29,14,Socher,Gudrun,Yahoo! Inc.
6581061,Transmission of multicast media between networks,2003-02-18,29,1,Luczycki,Edward A.,Yahoo! Inc.
6801945,Transmission of multicast media between networks,2003-02-18,29,1,Divinia,Darin D.,Yahoo! Inc.
6873996,Intelligent voice bridging,2003-04-29,7,29,Yarlagadda,Madhu,Yahoo! Inc.
6938073,Intelligent voice converter,2003-05-20,8,32,Yarlagadda,Madhu,Yahoo! Inc.
6950994,Message store architecture,2003-06-17,10,30,Yarlagadda,Madhu,Yahoo! Inc.
6974078,Remote web site authoring system and method,2003-06-17,14,6,Graham,Paul Andrew,Yahoo! Inc.
7007014,Systems and methods for predicting traffic on internet sites,2004-10-05,27,11,Lin,Long-Ji Ji,Yahoo! Inc.
7016307,Systems and methods for predicting traffic on internet sites,2004-10-05,27,11,Jung,Dz-Mou,Yahoo! Inc.
7028027,Affinity analysis method and article of manufacture,2005-03-29,31,16,Chand,Jagdish,Yahoo! Inc.
7051023,Method and apparatus for re-formatting web pages,2005-08-30,12,32,Socher,Gudrun,Yahoo! Inc.
7095733,Method and apparatus for re-formatting web pages,2005-08-30,12,32,Mendhekar,Anurag D.,Yahoo! Inc.
7107548,Method and apparatus for re-formatting web pages,2005-08-30,12,32,Vishwanath,Mohan,Yahoo! Inc.
7111229,Data list transmutation and input mapping,2005-09-27,21,29,Dharap,Sanjeev,Yahoo! Inc.
7120668,Personal communication device with bar code reader for obtaining product information from multiple databases,2005-12-13,25,23,Simon,David,Yahoo! Inc.
7133928,Canonicalization of terms in a keyword-based presentation system,2006-02-28,2,8,Liu,Hongche,Yahoo! Inc.
7143118,Canonicalization of terms in a keyword-based presentation system,2006-02-28,2,8,Raj,Ravi Narasimhan,Yahoo! Inc.
7155738,Method and system for finding related nodes in a social network,2006-03-21,42,7,Vasudev,Varun,Yahoo! Inc.
7181764,Method and system for finding related nodes in a social network,2006-03-21,42,7,Suresh,Bipin,Yahoo! Inc.
7185333,Associating documents with classifications and ranking documents based on classification weights,2006-04-11,8,11,Suchter,Sean Andrew,Yahoo! Inc.
7188143,Associating documents with classifications and ranking documents based on classification weights,2006-04-11,8,11,Zha,Hongyuan,Yahoo! Inc.
7197544,Systems and methods for generating concept units from search queries,2006-05-23,34,9,Kapur,Shyam,Yahoo! Inc.
7203754,Systems and methods for generating concept units from search queries,2006-05-23,34,9,Joshi,Deepa B.,Yahoo! Inc.
7206745,Voice integrated VOIP system,2006-08-22,7,34,Yarlagadda,Madhu,Yahoo! Inc.
7240214,Voice integrated VOIP system,2006-08-22,7,34,Loo,Patrick S.,Yahoo! Inc.
7251665,Voice integrated VOIP system,2006-08-22,7,34,Nakayama,David H.,Yahoo! Inc.
7269590,Method of controlling an internet browser interface and a controllable browser interface,2006-09-12,26,89,Shafron,Thomas Joshua,Yahoo! Inc.
7298714,System and method for providing a webpage,2006-09-19,14,5,Dong,Veena Y.,Yahoo! Inc.
7313700,System and method for providing a webpage,2006-09-19,14,5,Nicholas,Ethan R.,Yahoo! Inc.
7315899,Systems and methods for matching participants to a conversation,2006-10-10,23,74,Chang,Chi Chao,Yahoo! Inc.
7334001,Systems and methods for matching participants to a conversation,2006-10-10,23,74,LaMarca,Anthony G.,Yahoo! Inc.
7346556,Systems and methods for matching participants to a conversation,2006-10-10,23,74,Manber,Udi,Yahoo! Inc.
7346630,Performing multicast communication in computer networks by using overlay routing,2006-11-07,7,8,McCanne,Steven R.,Yahoo! Inc.
7350231,Method and system for alert delivery architecture,2006-11-28,22,17,Ramakrishnan,Thyagarajapuram S.,Yahoo! Inc.
7356572,Method and system for alert delivery architecture,2006-11-28,22,17,Menon,Jayachandran R.,Yahoo! Inc.
7359893,Method and system for alert delivery architecture,2006-11-28,22,17,Matzanas,Sotiris,Yahoo! Inc.
7359898,Method and system for alert delivery architecture,2006-11-28,22,17,Loo,Patrick S.,Yahoo! Inc.
7359948,Method and system for alert delivery architecture,2006-11-28,22,17,Eichstaedt,Matthias,Yahoo! Inc.
7359952,System and method for managing a trusted email datastore,2006-12-26,30,7,Hu,George T.,Yahoo! Inc.
7370011,System and method for managing a trusted email datastore,2006-12-26,30,7,Zhu,Jing,Yahoo! Inc.
7398271,System and method for a subscription model trusted email database for use in antispam,2007-02-20,26,6,Hu,George T.,Yahoo! Inc.
7406458,System and method for a subscription model trusted email database for use in antispam,2007-02-20,26,6,Zhu,Jing,Yahoo! Inc.
7406465,Method and system for managing the resources of a toolbar application program,2007-02-27,16,138,Shafron,Thomas Joshua,Yahoo! Inc.
7412534,Messenger-controlled applications in an instant messaging environment,2007-03-06,14,28,Szeto,Christopher,Yahoo! Inc.
7428522,Voice and video greeting system for personal advertisement and method,2007-03-27,21,29,Zhang,Hui Gang,Yahoo! Inc.
7428533,Voice and video greeting system for personal advertisement and method,2007-03-27,21,29,Wang,Wei Kung,Yahoo! Inc.
7430118,Voice and video greeting system for personal advertisement and method,2007-03-27,21,29,Zvinyatskovsky,Stanislav,Yahoo! Inc.
7447839,Cooperative management of distributed network caches,2007-04-10,19,18,Carney,Robert J.,Yahoo! Inc.
7451190,Cooperative management of distributed network caches,2007-04-10,19,18,Cheng,Paul C.,Yahoo! Inc.
7454509,Cooperative management of distributed network caches,2007-04-10,19,18,Crane,Jonathan C.,Yahoo! Inc.
7457935,Cooperative management of distributed network caches,2007-04-10,19,18,Bai,Joseph J.,Yahoo! Inc.
