date,accum,temp_min,temp_max,wind
9/1/2011,0,62.45,70.8,5.64
9/2/2011,0,60.21,67.46,4.8
9/6/2011,0,59.26,73.83,4.97
9/7/2011,0,59.72,61.98,9.91
9/8/2011,0,58.36,65.14,6.01
9/9/2011,0,60.61,77.83,5.21
9/12/2011,0,61.36,80.11,7.74
9/13/2011,0,65.55,82.86,8.69
9/14/2011,0,68.89,83.77,7.72
9/15/2011,0,56.12,78.72,3.96
9/16/2011,0,49.41,64.56,10.65
9/19/2011,0,50.61,62.38,4.98
9/20/2011,0,54.71,66.02,7.86
9/21/2011,0,59,70.41,3.13
9/22/2011,0,65.58,70.72,4.14
9/23/2011,0,66.21,69.98,2.66
9/26/2011,0,66.48,75.67,0.48
9/27/2011,0,64.35,70.61,3.78
9/28/2011,0,63.23,68.37,8.63
9/29/2011,0,63.27,69.75,5.94
9/30/2011,0,58.64,74.96,8.69
10/3/2011,0,57.3,66.26,2.29
10/4/2011,0,56.18,63.78,7.51
10/5/2011,0,51.03,63.95,12.64
10/6/2011,0,45.75,61.67,10.68
10/7/2011,0,44.81,63.26,1.36
10/11/2011,0,56.61,65.77,6.03
10/12/2011,0,55.49,59.43,8.87
10/13/2011,0,57.87,62.41,8.36
10/14/2011,0,58.98,67.12,5.26
10/17/2011,0,55.84,64.63,10.7
10/18/2011,0,53.65,65.96,4.48
10/19/2011,0,54.81,58.54,10.01
10/20/2011,0,55.66,68.97,2.76
10/21/2011,0,52.75,62.55,10.36
10/24/2011,0,43.66,60.57,6.31
10/25/2011,0,49.34,60.62,10.94
10/26/2011,0,43.56,48.8,5.14
10/27/2011,0,35.8,48.25,9.55
10/28/2011,0,35.02,46.53,10.29
10/31/2011,0,36.92,50.38,2.47
11/1/2011,0,40.61,50.27,4.93
11/2/2011,0,38.89,51.68,1.36
11/3/2011,0,42.16,60.74,8.88
11/4/2011,0,40.1,50.62,11.42
11/7/2011,0,42.03,62.8,8.79
11/8/2011,0,51.42,66.21,4.99
11/9/2011,0,49.17,66.87,5.32
11/10/2011,0,51.1,58.75,1.8
11/14/2011,0,55.57,66.6,12.09
11/15/2011,0,58.37,66.54,9.27
11/16/2011,0,47.82,59.31,2.16
11/17/2011,0,39.42,55.35,9.5
11/18/2011,0,36.55,44.99,11.97
11/21/2011,0,38.05,57.44,6.14
11/22/2011,0,34.38,44.52,2.18
11/23/2011,0,35.72,46.98,12.58
11/25/2011,0,37.6,60.29,9.44
11/28/2011,0,53.86,65.84,11.21
11/29/2011,0,53.75,65.68,6.68
11/30/2011,0,45.82,63.21,11.54
12/1/2011,0,38.45,47.36,8.99
12/2/2011,0,35.09,49.36,4.35
12/5/2011,0,45.73,61.74,8.23
12/6/2011,0,51.81,61.11,7.42
12/7/2011,0,42.37,58.07,4.25
12/8/2011,0,37.23,45.05,13.1
12/9/2011,0,35.32,51.15,8.26
12/12/2011,0,32.14,47.91,8.15
