date,closed,note
2/2/2011,yes,
10/29/2012,yes,hurricane
2/8/2013,yes,
2/9/2013,yes,
2/10/2013,yes,
3/8/2013,yes,early facebook
3/19/2013,yes,
12/17/2013,yes,early facebook
12/18/2013,yes,early facebook
1/2/2014,yes,early
1/3/2014,yes,
1/22/2014,yes,
2/5/2014,yes,facebook
2/13/2014,yes,early facebook
1/24/2015,yes,facebook
1/26/2015,yes,early
1/27/2015,yes,
1/28/2015,yes,
2/2/2015,yes,
2/9/2015,yes,
2/10/2015,yes,
2/14/2015,yes,early facebook
2/15/2015,yes,facebook
2/8/2016,yes,
2/9/2017,yes,email
3/14/2017,yes,email
2/12/2017,yes,
2/13/2017,yes,
