accum,min,max,wind,yesterdays_high,closed
1,0.0,60.21,67.46,4.8,70.8,0
3,0.0,59.72,61.98,9.91,73.83,0
4,0.0,58.36,65.14,6.01,61.98,0
5,0.0,60.61,77.83,5.21,65.14,0
7,0.0,65.55,82.86,8.69,80.11,0
8,0.0,68.89,83.77,7.72,82.86,0
9,0.0,56.12,78.72,3.96,83.76999999999998,0
10,0.0,49.41,64.56,10.65,78.72,0
12,0.0,54.71,66.02,7.86,62.38,0
13,0.0,59.0,70.41,3.13,66.02,0
14,0.0,65.58,70.72,4.14,70.41,0
15,0.0,66.21,69.98,2.66,70.72,0
17,0.0,64.35,70.61,3.78,75.67,0
18,0.0,63.23,68.37,8.63,70.61,0
19,0.0,63.27,69.75,5.94,68.37,0
20,0.0,58.64,74.96,8.69,69.75,0
22,0.0,56.18,63.78,7.51,66.26,0
23,0.0,51.03,63.95,12.64,63.78,0
24,0.0,45.75,61.67,10.68,63.95,0
25,0.0,44.81,63.26,1.36,61.67,0
27,0.0,55.49,59.43,8.87,65.77,0
28,0.0,57.87,62.41,8.36,59.43,0
29,0.0,58.98,67.12,5.26,62.41,0
31,0.0,53.65,65.96,4.48,64.63,0
32,0.0,54.81,58.54,10.01,65.96,0
33,0.0,55.66,68.97,2.76,58.54,0
34,0.0,52.75,62.55,10.36,68.97,0
36,0.0,49.34,60.62,10.94,60.57,0
37,0.0,43.56,48.8,5.14,60.62,0
38,0.0,35.8,48.25,9.55,48.8,0
39,0.0,35.02,46.53,10.29,48.25,0
41,0.0,40.61,50.27,4.93,50.38,0
42,0.0,38.89,51.68,1.36,50.27,0
43,0.0,42.16,60.74,8.88,51.68,0
44,0.0,40.1,50.62,11.42,60.74,0
46,0.0,51.42,66.21,4.99,62.8,0
47,0.0,49.17,66.87,5.32,66.21,0
48,0.0,51.1,58.75,1.8,66.87,0
50,0.0,58.37,66.54,9.27,66.6,0
51,0.0,47.82,59.31,2.16,66.54,0
52,0.0,39.42,55.35,9.5,59.31,0
53,0.0,36.55,44.99,11.97,55.35,0
55,0.0,34.38,44.52,2.18,57.44,0
56,0.0,35.72,46.98,12.58,44.52,0
59,0.0,53.75,65.68,6.68,65.84,0
60,0.0,45.82,63.21,11.54,65.68,0
61,0.0,38.45,47.36,8.99,63.21,0
62,0.0,35.09,49.36,4.35,47.36,0
64,0.0,51.81,61.11,7.42,61.74,0
65,0.0,42.37,58.07,4.25,61.11,0
66,0.0,37.23,45.05,13.1,58.07,0
67,0.0,35.32,51.15,8.26,45.05,0
69,0.0,31.34,45.52,4.04,47.91,0
70,0.0,36.8,45.77,3.59,45.52,0
71,0.0,38.44,54.43,12.6,45.77,0
72,0.0,38.86,54.25,13.32,54.43,0
74,0.0,32.3,44.53,5.28,44.48,0
76,0.0,22.16,51.2,16.14,46.71,0
77,0.069,16.87,32.28,1.75,51.2,0
78,0.52,23.46,30.6,7.7,32.28,0
80,0.0,43.81,55.52,7.61,45.96,0
81,0.0,36.09,42.03,10.85,55.52,0
82,0.0,31.88,39.13,1.23,42.03,0
83,0.0,35.79,44.8,2.13,39.13,0
85,0.0,29.48,45.68,1.21,39.2,0
86,0.0,34.38,57.81,5.63,45.68,0
87,0.0,31.73,44.7,5.25,57.81,0
88,0.0,24.85,37.51,8.48,44.7,0
90,0.0,32.68,43.71,7.42,49.9,0
91,0.0,22.04,37.2,2.91,43.71,0
92,0.0,31.41,46.18,6.97,37.2,0
93,0.0,32.06,49.03,8.85,46.18,0
95,0.0,29.56,42.67,5.41,40.79,0
96,0.0,35.65,42.72,0.27,42.67,0
97,0.0,34.61,45.33,2.3,42.72,0
98,0.0,37.86,50.11,6.92,45.33,0
100,0.0,38.27,55.65,7.89,41.55,0
101,0.0,41.67,52.09,7.36,55.65,0
102,0.0,36.23,42.08,3.66,52.09,0
104,0.0,33.77,45.55,10.58,50.07,0
105,1.44,30.81,35.9,5.28,45.55,0
106,0.0,25.62,36.47,15.45,35.9,0
107,0.0,23.53,33.29,4.1,36.47,0
109,0.0,19.47,39.48,8.1,37.19,0
110,0.0,32.69,60.53,13.81,39.48,0
111,0.0,50.43,66.58,21.08,60.53,0
112,0.0,35.61,59.89,10.14,66.58,0
114,0.0,50.33,70.6,8.86,69.9,0
115,0.0,39.73,54.78,6.76,70.6,0
116,0.0,37.42,39.69,5.93,54.78,0
117,0.0,36.18,44.54,3.53,39.69,0
119,0.0,43.49,68.41,1.61,72.39,0
120,0.0,58.05,77.49,8.87,68.41,0
121,0.0,57.66,81.68,8.42,77.48999999999998,0
122,0.0,60.34,72.71,5.56,81.68,0
124,0.0,27.37,46.52,14.34,47.19,0
125,0.0,38.08,50.13,4.6,46.52,0
126,0.0,41.18,48.62,8.83,50.13,0
127,0.0,36.58,48.57,7.72,48.62,0
129,0.0,36.06,57.82,10.78,49.74,0
130,0.0,44.31,61.71,9.7,57.82,0
131,0.0,39.54,50.06,10.8,61.71,0
132,0.0,36.9,50.8,8.64,50.06,0
134,0.0,44.24,60.9,8.86,57.19,0
135,0.0,44.4,52.52,4.76,60.9,0
136,0.0,43.22,53.17,6.53,52.52,0
137,0.0,40.2,62.23,6.38,53.17,0
139,0.0,58.3,81.44,7.86,86.2,0
140,0.0,50.01,63.58,2.98,81.44,0
141,0.0,47.24,62.9,6.89,63.58,0
142,0.0,50.05,74.12,10.36,62.9,0
144,0.0,47.31,56.44,13.38,62.85,0
145,0.0,44.66,60.67,7.75,56.44,0
146,0.0,42.86,60.49,3.73,60.67,0
147,0.0,42.65,56.02,14.78,60.49,0
